feature,qc_status,deployability_class,safe_for_qc_handoff,used_in_feature_sets,handoff_note
list_id,unclassified_or_unused,,,,
date,unclassified_or_unused,,,,
symbol,unclassified_or_unused,,,,
george_included,non_deployable_george_evidence,,,,
scanner_rank,non_deployable_george_evidence,,,,
george_rank_pct,non_deployable_george_evidence,,,,
george_list_size,non_deployable_george_evidence,,,,
george_max_rank,non_deployable_george_evidence,,,,
is_george_top5,non_deployable_george_evidence,,,,
is_george_last_row,non_deployable_george_evidence,,,,
is_george_action,non_deployable_george_evidence,,,,
is_george_bought,non_deployable_george_evidence,,,,
is_george_sold,non_deployable_george_evidence,,,,
decision_label,non_deployable_george_evidence,,,,
in_candidate_denominator,unclassified_or_unused,,,,
forced_george_outside_denominator,non_deployable_george_evidence,,,,
denominator_top_n,unclassified_or_unused,,,,
open,clean_available_not_used,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
high,clean_available_not_used,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
low,clean_available_not_used,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
close,clean_available_not_used,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
prior_close,unclassified_or_unused,,,,
volume,clean_available_not_used,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
day_dollar_vol,clean_available_not_used,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
adv20_incl_today,clean_available_not_used,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
avg_volume20,blocked_local_massive_only,local_massive_only,False,"local_real_data,offline_oof_research,research_with_bct_attention",review before QC handoff
rel_volume20,qc_ranker_feature,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
gap_pct,qc_ranker_feature,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
day_return_pct,qc_ranker_feature,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
intraday_return_pct,qc_ranker_feature,local_massive_only,False,"local_real_data,offline_oof_research,research_with_bct_attention",review before QC handoff
range_pct,qc_ranker_feature,local_massive_only,False,"local_real_data,offline_oof_research,research_with_bct_attention",review before QC handoff
day_dv_rank_price10,qc_ranker_feature,local_massive_only,False,"local_real_data,offline_oof_research,research_with_bct_attention",port only after matching the live QC universe and rank denominator
adv20_rank_price10,qc_ranker_feature,local_massive_only,False,"local_real_data,offline_oof_research,research_with_bct_attention",port only after matching the live QC universe and rank denominator
gap_rank_price10,blocked_local_massive_only,local_massive_only,False,"local_real_data,offline_oof_research,research_with_bct_attention",port only after matching the live QC universe and rank denominator
day_return_rank_price10,blocked_local_massive_only,local_massive_only,False,"local_real_data,offline_oof_research,research_with_bct_attention",port only after matching the live QC universe and rank denominator
rel_volume20_rank_price10,blocked_local_massive_only,local_massive_only,False,"local_real_data,offline_oof_research,research_with_bct_attention",port only after matching the live QC universe and rank denominator
history_days_for_adv,blocked_local_massive_only,local_massive_only,False,"local_real_data,offline_oof_research,research_with_bct_attention",review before QC handoff
daily_structure_score,qc_ranker_feature,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
d_price_above_cloud,qc_ranker_feature,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
d_price_inside_cloud,clean_available_not_used,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
d_price_below_cloud,clean_available_not_used,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
d_price_above_tenkan,qc_ranker_feature,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
d_tenkan_gt_kijun,qc_ranker_feature,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
d_cloud_green,qc_ranker_feature,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
d_price_above_ma200,qc_ranker_feature,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
d_chikou_ok,qc_ranker_feature,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
