variant_id,family,hypothesis,config_hash,rc,status,ok,net_profit,drawdown,total_orders,sharpe,trades_csv,orders_csv,exit_events_csv,artifact_error,error,run_dir,result_path
combo_gb_buy005,combo,Best exit plus 0.5% buy-stop offset.,97a40998938b,0,Completed,True,10.932%,17.700%,260,0.567,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005/fy2025_full/trades.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005/fy2025_full/orders.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005/fy2025_full/exit_events.csv,,,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005/fy2025_full/backtests/2026-06-08_18-07-09/1624671258.json
combo_gb_buy010,combo,Best exit plus 1.0% buy-stop offset.,0622f016bdd6,0,Completed,True,10.429%,17.900%,243,0.54,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy010/fy2025_full/trades.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy010/fy2025_full/orders.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy010/fy2025_full/exit_events.csv,,,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy010/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy010/fy2025_full/backtests/2026-06-08_18-07-45/1925915690.json
combo_gb_buy005_min7,combo,"Best exit, 0.5% buy-stop, defer proactive exits for 7 days.",55f5413b318f,0,Completed,True,10.303%,17.200%,260,0.531,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_min7/fy2025_full/trades.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_min7/fy2025_full/orders.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_min7/fy2025_full/exit_events.csv,,,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_min7/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_min7/fy2025_full/backtests/2026-06-08_18-08-24/1623574755.json
combo_gb_buy005_min14,combo,"Best exit, 0.5% buy-stop, defer proactive exits for 14 days.",7de6b4ad38d0,0,Completed,True,10.356%,18.000%,279,0.527,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_min14/fy2025_full/trades.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_min14/fy2025_full/orders.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_min14/fy2025_full/exit_events.csv,,,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_min14/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_min14/fy2025_full/backtests/2026-06-08_18-22-57/1607452907.json
combo_t08_buy005,combo,8% target runner plus 0.5% buy-stop.,9f6bb4fdbb5a,0,Completed,True,10.097%,17.900%,205,0.518,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_t08_buy005/fy2025_full/trades.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_t08_buy005/fy2025_full/orders.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_t08_buy005/fy2025_full/exit_events.csv,,,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_t08_buy005/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_t08_buy005/fy2025_full/backtests/2026-06-08_18-23-44/1678183615.json
combo_t08_buy010,combo,8% target runner plus 1.0% buy-stop.,194ae7a260c4,0,Completed,True,10.096%,17.600%,203,0.52,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_t08_buy010/fy2025_full/trades.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_t08_buy010/fy2025_full/orders.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_t08_buy010/fy2025_full/exit_events.csv,,,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_t08_buy010/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_t08_buy010/fy2025_full/backtests/2026-06-08_18-24-35/1163713786.json
combo_minp03_buy005,combo,Low min-peak giveback plus 0.5% buy-stop.,9464d99af5d4,0,Completed,True,10.628%,17.400%,295,0.55,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_minp03_buy005/fy2025_full/trades.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_minp03_buy005/fy2025_full/orders.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_minp03_buy005/fy2025_full/exit_events.csv,,,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_minp03_buy005/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_minp03_buy005/fy2025_full/backtests/2026-06-08_18-39-13/1123807966.json
combo_minp03_buy010,combo,Low min-peak giveback plus 1.0% buy-stop.,8804e80da0d8,0,Completed,True,10.069%,17.600%,245,0.52,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_minp03_buy010/fy2025_full/trades.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_minp03_buy010/fy2025_full/orders.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_minp03_buy010/fy2025_full/exit_events.csv,,,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_minp03_buy010/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_minp03_buy010/fy2025_full/backtests/2026-06-08_18-40-29/1341167033.json
combo_gb_buy005_pos03,combo,Best exit/buy-stop with 3% flat sizing.,eca769af1140,0,Completed,True,8.234%,13.300%,260,0.541,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_pos03/fy2025_full/trades.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_pos03/fy2025_full/orders.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_pos03/fy2025_full/exit_events.csv,,,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_pos03/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_pos03/fy2025_full/backtests/2026-06-08_18-41-29/1798038866.json
combo_gb_buy005_pos035,combo,Best exit/buy-stop with 3.5% flat sizing.,d622fdfb83bb,0,Completed,True,9.972%,15.800%,260,0.575,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_pos035/fy2025_full/trades.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_pos035/fy2025_full/orders.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_pos035/fy2025_full/exit_events.csv,,,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_pos035/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_pos035/fy2025_full/backtests/2026-06-08_18-56-09/1897238431.json
