variant_id,family,ret_pct,dd_pct,same_entry_count,added_entry_count,missed_entry_count,same_symbol_count,added_closed_pnl,missed_closed_pnl,added_symbols,missed_symbols,added_open_symbols,missed_open_symbols
entry_gapvol_gap05,entry_confirmation,0.018,22.4,1,38,35,12,-27412.27,-14273.15,ABVX ACHR ARM ATI AU BABA BITX C COHR CONL CRS CRWD DKNG DOV EAT EBAY GE GGLL KGC LEU MP NEM NFLX NRG OSCR PAAS RIOT RTX SBUX SMR TSM U UBER URA USO VFC VST XPEV,ABT AIG AR ATI AU BITX BJ BKR BSX CEG EBAY EZU GLW HOOD HPE IBIT JLL KGC KLAC META MP MRVL NEM NTES PAAS QBTS RBLX RUN SHOP SPOT TSM UAL URBN USO VST,ABVX ARM ATI AU BABA COHR GGLL KGC LEU NEM PAAS RIOT U URA XPEV,ABT AIG ATI AU GLW HOOD JLL KGC KLAC NEM NTES PAAS QBTS RBLX RUN SPOT URBN
entry_gapvol_gap04,entry_confirmation,11.952,22.6,6,33,30,23,-23483.43,-12421.50,ACHR AR ARM ATI AU BITX BTI C EAT EBAY FIX HPE ILMN KGC META MP MS NEM NFLX NOC NRG NXT OSCR PAAS QBTS RTX SHOP SMR TSM UAL URA URBN USO,ABT AIG AR ATI AU BITX BJ BKR EBAY EZU GLW HPE IBIT JLL KGC META MP MRVL NEM NTES PAAS QBTS RBLX RUN SHOP SPOT TSM UAL URBN USO,ARM ATI AU BTI ILMN KGC NEM NXT PAAS QBTS URA URBN,ABT AIG ATI AU GLW JLL KGC NEM NTES PAAS QBTS RBLX RUN SPOT URBN
attention_floor_05,george_attention,22.241,19.9,12,24,24,24,-6267.24,-8026.56,AIG AR ARM ATI AU BJ BKR BTI C CCJ EBAY EQT GLW HAS KLAC MP NEM NOC NRG NU NXT SAP SATS UAL,ABT AIG AR ATI AU BITX BJ BKR EBAY EZU GLW IBIT JLL KGC KLAC MP NEM NTES PAAS QBTS RUN UAL URBN USO,AIG ARM ATI AU BTI CCJ EQT GLW HAS KLAC NEM NU NXT SATS,ABT AIG ATI AU GLW JLL KGC KLAC NEM NTES PAAS QBTS RUN URBN
entry_gapvol_window60,entry_confirmation,18.652,23.0,16,22,20,31,-6373.63,-2822.49,ACHR AIG ATI AU BCS BTI CEG GLW GOOG GOOGL HOOD HPE MP NEM NET NTES NXT PAAS QBTS RUN SPOT URBN,ABT AIG ATI AU BKR CEG GLW HOOD HPE JLL KGC LNG MP NEM NTES PAAS QBTS RUN SPOT URBN,AIG ATI AU BTI GLW HOOD NEM NTES NXT PAAS QBTS RUN SPOT URBN,ABT AIG ATI AU GLW HOOD JLL KGC NEM NTES PAAS QBTS RUN SPOT URBN
attention_ticker_heavy,george_attention,27.197,20.2,18,19,18,32,-8577.39,-6644.76,ACHR AR AU BCS BJ BKR BTI C EBAY EZU GLW IBIT KGC MP NEM NXT PAAS RUN USO,ABT AR AU BITX BJ BKR EBAY EZU GLW IBIT JLL KGC MP NEM PAAS QBTS RUN USO,AU BTI GLW KGC NEM NXT PAAS RUN,ABT AU GLW JLL KGC NEM PAAS QBTS RUN
exit_weekly_kijun,exit_management,27.813,20.2,29,8,7,33,-2587.90,0.00,ACHR AIG BCS BTI NXT QBTS RUN URBN,ABT AIG JLL NTES QBTS RUN URBN,AIG BTI NXT QBTS RUN URBN,ABT AIG JLL NTES QBTS RUN URBN
exit_scratch_flat_3d,exit_management,27.813,20.2,29,8,7,33,-2587.90,0.00,ACHR AIG BCS BTI NXT QBTS RUN URBN,ABT AIG JLL NTES QBTS RUN URBN,AIG BTI NXT QBTS RUN URBN,ABT AIG JLL NTES QBTS RUN URBN
exit_proactive_target_06,exit_management,27.813,20.2,29,8,7,33,-2587.90,0.00,ACHR AIG BCS BTI NXT QBTS RUN URBN,ABT AIG JLL NTES QBTS RUN URBN,AIG BTI NXT QBTS RUN URBN,ABT AIG JLL NTES QBTS RUN URBN
exit_proactive_giveback_tight,exit_management,27.813,20.2,29,8,7,33,-2587.90,0.00,ACHR AIG BCS BTI NXT QBTS RUN URBN,ABT AIG JLL NTES QBTS RUN URBN,AIG BTI NXT QBTS RUN URBN,ABT AIG JLL NTES QBTS RUN URBN
exit_kijun_phase3_base,exit_management,27.813,20.2,29,8,7,33,-2587.90,0.00,ACHR AIG BCS BTI NXT QBTS RUN URBN,ABT AIG JLL NTES QBTS RUN URBN,AIG BTI NXT QBTS RUN URBN,ABT AIG JLL NTES QBTS RUN URBN
