variant_id,family,ret_pct,dd_pct,orders,buy_orders,closed_trades,open_trades,closed_win_rate,closed_loser_count,net_profit_est,closed_realized_pnl,implied_open_pnl,avg_closed_pnl,median_closed_pnl,avg_mfe,avg_mae,avg_duration_days,avg_decision_rank,avg_decision_gap,avg_decision_vol,worst_symbol,worst_pnl,worst_mfe,worst_mae,best_mfe_symbol,best_mfe,entry_symbols,open_symbols
entry_gapvol_base,entry_confirmation,27.813,20.2,74,37,21,16,0.000,21,27813.00,-17687.29,45500.29,-842.252,-722.910,500.768,-868.998,74.795,383.784,0.045,8.205,MRVL,-1805.770,428.040,-1888.260,VST,1373.500,ACHR AIG AR ATI AU BCS BITX BJ BKR BSX BTI CEG EBAY EZU GLW HOOD HPE IBIT KGC KLAC LNG META MP MRVL NEM NXT PAAS QBTS RBLX RUN SHOP SPOT TSM UAL URBN USO VST,AIG ATI AU BTI GLW HOOD KGC KLAC NEM NXT PAAS QBTS RBLX RUN SPOT URBN
entry_gapvol_vol125,entry_confirmation,27.813,20.2,74,37,21,16,0.000,21,27813.00,-17687.29,45500.29,-842.252,-722.910,500.768,-868.998,74.795,383.784,0.045,8.205,MRVL,-1805.770,428.040,-1888.260,VST,1373.500,ACHR AIG AR ATI AU BCS BITX BJ BKR BSX BTI CEG EBAY EZU GLW HOOD HPE IBIT KGC KLAC LNG META MP MRVL NEM NXT PAAS QBTS RBLX RUN SHOP SPOT TSM UAL URBN USO VST,AIG ATI AU BTI GLW HOOD KGC KLAC NEM NXT PAAS QBTS RBLX RUN SPOT URBN
entry_gapvol_vol150,entry_confirmation,27.813,20.2,74,37,21,16,0.000,21,27813.00,-17687.29,45500.29,-842.252,-722.910,500.768,-868.998,74.795,383.784,0.045,8.205,MRVL,-1805.770,428.040,-1888.260,VST,1373.500,ACHR AIG AR ATI AU BCS BITX BJ BKR BSX BTI CEG EBAY EZU GLW HOOD HPE IBIT KGC KLAC LNG META MP MRVL NEM NXT PAAS QBTS RBLX RUN SHOP SPOT TSM UAL URBN USO VST,AIG ATI AU BTI GLW HOOD KGC KLAC NEM NXT PAAS QBTS RBLX RUN SPOT URBN
exit_kijun_phase3_base,exit_management,27.813,20.2,74,37,21,16,0.000,21,27813.00,-17687.29,45500.29,-842.252,-722.910,500.768,-868.998,74.795,383.784,0.045,8.205,MRVL,-1805.770,428.040,-1888.260,VST,1373.500,ACHR AIG AR ATI AU BCS BITX BJ BKR BSX BTI CEG EBAY EZU GLW HOOD HPE IBIT KGC KLAC LNG META MP MRVL NEM NXT PAAS QBTS RBLX RUN SHOP SPOT TSM UAL URBN USO VST,AIG ATI AU BTI GLW HOOD KGC KLAC NEM NXT PAAS QBTS RBLX RUN SPOT URBN
exit_cloud_adherence,exit_management,27.813,20.2,74,37,21,16,0.000,21,27813.00,-17687.29,45500.29,-842.252,-722.910,500.768,-868.998,74.795,383.784,0.045,8.205,MRVL,-1805.770,428.040,-1888.260,VST,1373.500,ACHR AIG AR ATI AU BCS BITX BJ BKR BSX BTI CEG EBAY EZU GLW HOOD HPE IBIT KGC KLAC LNG META MP MRVL NEM NXT PAAS QBTS RBLX RUN SHOP SPOT TSM UAL URBN USO VST,AIG ATI AU BTI GLW HOOD KGC KLAC NEM NXT PAAS QBTS RBLX RUN SPOT URBN
exit_weekly_kijun,exit_management,27.813,20.2,74,37,21,16,0.000,21,27813.00,-17687.29,45500.29,-842.252,-722.910,500.768,-868.998,74.795,383.784,0.045,8.205,MRVL,-1805.770,428.040,-1888.260,VST,1373.500,ACHR AIG AR ATI AU BCS BITX BJ BKR BSX BTI CEG EBAY EZU GLW HOOD HPE IBIT KGC KLAC LNG META MP MRVL NEM NXT PAAS QBTS RBLX RUN SHOP SPOT TSM UAL URBN USO VST,AIG ATI AU BTI GLW HOOD KGC KLAC NEM NXT PAAS QBTS RBLX RUN SPOT URBN
exit_proactive_target_06,exit_management,27.813,20.2,74,37,21,16,0.000,21,27813.00,-17687.29,45500.29,-842.252,-722.910,500.768,-868.998,74.795,383.784,0.045,8.205,MRVL,-1805.770,428.040,-1888.260,VST,1373.500,ACHR AIG AR ATI AU BCS BITX BJ BKR BSX BTI CEG EBAY EZU GLW HOOD HPE IBIT KGC KLAC LNG META MP MRVL NEM NXT PAAS QBTS RBLX RUN SHOP SPOT TSM UAL URBN USO VST,AIG ATI AU BTI GLW HOOD KGC KLAC NEM NXT PAAS QBTS RBLX RUN SPOT URBN
exit_proactive_giveback_tight,exit_management,27.813,20.2,74,37,21,16,0.000,21,27813.00,-17687.29,45500.29,-842.252,-722.910,500.768,-868.998,74.795,383.784,0.045,8.205,MRVL,-1805.770,428.040,-1888.260,VST,1373.500,ACHR AIG AR ATI AU BCS BITX BJ BKR BSX BTI CEG EBAY EZU GLW HOOD HPE IBIT KGC KLAC LNG META MP MRVL NEM NXT PAAS QBTS RBLX RUN SHOP SPOT TSM UAL URBN USO VST,AIG ATI AU BTI GLW HOOD KGC KLAC NEM NXT PAAS QBTS RBLX RUN SPOT URBN
exit_scratch_flat_3d,exit_management,27.813,20.2,74,37,21,16,0.000,21,27813.00,-17687.29,45500.29,-842.252,-722.910,500.768,-868.998,74.795,383.784,0.045,8.205,MRVL,-1805.770,428.040,-1888.260,VST,1373.500,ACHR AIG AR ATI AU BCS BITX BJ BKR BSX BTI CEG EBAY EZU GLW HOOD HPE IBIT KGC KLAC LNG META MP MRVL NEM NXT PAAS QBTS RBLX RUN SHOP SPOT TSM UAL URBN USO VST,AIG ATI AU BTI GLW HOOD KGC KLAC NEM NXT PAAS QBTS RBLX RUN SPOT URBN
industry_top3_focus,industry_warmup,27.695,19.4,72,36,19,17,0.000,19,27695.00,-15099.39,42794.39,-794.705,-653.790,493.111,-824.266,73.261,396.056,0.044,8.181,MRVL,-1805.770,428.040,-1888.260,VST,1373.500,ABT AIG AR ATI AU BITX BJ BKR BSX CEG EBAY EZU GLW HOOD HPE IBIT JLL KGC KLAC LNG META MP MRVL NEM NTES PAAS QBTS RBLX RUN SHOP SPOT TSM UAL URBN USO VST,ABT AIG ATI AU GLW HOOD JLL KGC KLAC NEM NTES PAAS QBTS RBLX RUN SPOT URBN
