variant_id,family,symbol,entry_time,entry_date,entry_price,quantity,status,exit_time,exit_date,exit_price,pnl,total_fees,mae,mfe,duration_days,decision_score,decision_rank,decision_gap,decision_vol,decision_tdist,decision_cond,entry_in_baseline
combo_target_04_top3,mfe_target,MRVL,2025-01-03T14:31:00Z,2025-01-03,117.038490,42.000000,closed,2025-01-06T14:31:00Z,2025-01-06,122.324,221.980,2.000,-60.770,224.550,3.000,7.000,36.000,0.031,9.238,0.000,11111101,True
combo_target_04_top3,mfe_target,VST,2025-01-03T14:36:00Z,2025-01-03,156.258090,32.000000,closed,2025-01-03T16:51:00Z,2025-01-03,162.439,197.780,2.000,-2.500,200.380,0.094,7.000,147.000,0.043,6.013,0.000,11111101,True
combo_target_04_top3,mfe_target,RBLX,2025-01-03T14:36:00Z,2025-01-03,60.765368,82.000000,closed,2025-01-08T14:41:00Z,2025-01-08,63.378,214.260,2.000,-59.320,216.860,5.003,7.000,244.000,0.031,3.036,0.000,11111101,True
combo_target_04_top3,mfe_target,VST,2025-01-03T16:52:00Z,2025-01-03,162.601260,30.000000,closed,2025-01-14T14:36:00Z,2025-01-14,170.078,224.290,2.000,-283.840,226.850,10.906,7.000,147.000,0.086,0.000,0.000,11111101,True
combo_target_04_top3,mfe_target,CEG,2025-01-03T20:51:00Z,2025-01-03,253.106790,19.000000,closed,2025-01-06T18:36:00Z,2025-01-06,263.118,190.220,2.000,-29.770,192.720,2.906,8.000,192.000,0.043,7.340,0.000,11111111,True
combo_target_04_top3,mfe_target,TSM,2025-01-03T20:51:00Z,2025-01-03,208.414155,24.000000,closed,2025-01-07T14:31:00Z,2025-01-07,221.130,305.190,2.000,-2.500,327.020,3.736,7.000,25.000,0.034,6.092,0.000,11111101,True
combo_target_04_top3,mfe_target,HOOD,2025-01-03T20:51:00Z,2025-01-03,41.095537,121.000000,closed,2025-01-07T14:31:00Z,2025-01-07,42.309,146.780,2.000,-2.490,233.460,3.736,7.000,70.000,0.042,9.018,0.000,11111101,True
combo_target_04_top3,mfe_target,SHOP,2025-01-06T14:31:00Z,2025-01-06,112.788666,44.000000,closed,2025-01-28T17:21:00Z,2025-01-28,117.571,210.430,2.000,-594.830,213.020,22.118,7.000,132.000,0.032,6.393,0.000,11111101,True
combo_target_04_top3,mfe_target,BITX,2025-01-06T15:11:00Z,2025-01-06,61.140655,82.000000,closed,2025-01-21T14:31:00Z,2025-01-21,64.388,266.320,2.000,-1159.530,360.750,14.972,7.000,143.000,0.060,6.790,0.000,11111101,True
combo_target_04_top3,mfe_target,META,2025-01-06T20:51:00Z,2025-01-06,629.824755,8.000000,closed,2025-01-27T15:41:00Z,2025-01-27,654.623,198.380,2.000,-320.840,201.000,20.785,7.000,11.000,0.041,10.602,0.000,11111101,True
