scope,metric,direction,n,coverage_pct,min,p10,p25,median,p75,p90,max,sample_confidence
summary,net_profit_pct,higher,30,100.0,4.358,4.62,5.5649999999999995,6.4455,9.99825,10.2958,11.897,low
summary,drawdown_pct,lower,30,100.0,13.7,16.98,17.45,18.15,18.4,19.680000000000003,34.9,low
summary,sharpe,higher,30,100.0,0.217,0.23340000000000002,0.267,0.3405,0.469,0.5273,0.569,low
summary,total_orders,context,30,100.0,223.0,244.8,629.5,1725.5,1870.0,2069.9,2391.0,low
trade,return_pct_points,higher,20693,100.0,-90.23075143919748,-2.8534468408645797,-1.19346196078854,-0.03355184467694,1.0291366541919,6.377695026668601,47.59285154867194,high
trade,pnl,higher,20693,100.0,-8752.376830500001,-119.59558949999983,-48.41097210000004,-1.3558499999998617,41.662862500000074,250.13024200000015,3590.4622649999997,high
trade,duration_days,context,20693,100.0,0.7326388888888888,1.0,1.0,4.0,7.0,16.99236111111111,333.0,high
entry_indicator,decision_rank,lower_rank_is_higher_liquidity,21372,100.0,0.0,5.0,10.0,30.0,67.0,97.0,188.0,high
entry_indicator,decision_gap_pct,context,21372,100.0,-2.5,-0.9199999999999999,-0.38,0.12,0.66,1.16,12.33,high
entry_indicator,decision_vol,context,21372,100.0,0.174,3.086,4.045,5.52,7.205,8.83140000000001,16.814,high
entry_indicator,decision_tdist,context,21372,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,high
order,abs_quantity,context,42065,100.0,1.0,4.0,8.0,14.0,21.0,36.0,119.0,high
order,fill_price,context,42065,100.0,73.55676,115.7028225,197.83887,311.1610105,506.3974525,871.445505,1337.562375,high
