scan_date,symbol,opportunity_id,trade_bucket,reason_codes,source_bucket,trainable_scanner_evidence,george_signal_seen,george_video_only_context,kumo_signal_seen,kumo_top_n,both_george_and_kumo,george_scanner_positive,george_watchlist,george_video_mention,kumo_scanner,kumo_rank_by_score,kumo_score,george_rank,george_watchlist_rank,company_sector,company_industry,sector_category,sector_etf_proxy,source_tags,entry_assumption_count,triggered_entry_count,strict_triggered_entry_count,bad_triggered_entry_count,best_entry_assumption,best_entry_date,best_entry_time,best_entry_price,best_entry_ret_20d_close_pct,best_entry_mfe_20d_pct,best_entry_mae_20d_pct,best_entry_t4_s2_20d_outcome,best_entry_t8_s4_20d_outcome,best_entry_runner_candidate_20d,best_entry_normal_winner_20d,best_entry_bad_trade_20d,best_entry_outcome_20d,next_open_triggered,next_open_ret_20d_close_pct,next_open_mfe_20d_pct,next_open_mae_20d_pct,next_open_bad_trade_20d,best_deployable_exit_policy_id,best_deployable_exit_reason,best_deployable_exit_status,best_deployable_total_equity_ret_40d_pct,best_deployable_realized_ret_pct,best_deployable_exposure_sessions,best_deployable_runner_preserved_40d,oracle_best_exit_policy_id,oracle_best_total_equity_ret_40d_pct,hold_40d_total_equity_ret_40d_pct,exit_policy_entry_assumption,classification_version
2026-03-06,BATL,2026-03-06|BATL,bad,realistic_entry_triggered;best_entry_bad_trade;mae20_le_minus8;stop_before_target4_2,george_only,True,True,False,False,False,False,True,False,False,False,,,8.0,,,,,,george_scanner_ocr,4,1,0,1,next_open,2026-03-09,2026-03-09 09:30:00,24.85,-82.9376,2.2133,-85.9155,stop_before_target,stop_before_target,False,False,True,bad_trade,True,-82.9376,2.2133,-85.9155,True,fixed_t4_s2,stop,closed,-2.0,-2.0,1.0,False,fixed_t4_s2,-2.0,-85.0704,next_open_path_labels,george_scanner_trade_universe_v1
2026-03-24,VO,2026-03-24|VO,bad,realistic_entry_triggered;best_entry_bad_trade;mae20_le_minus8;stop_before_target4_2,george_only,True,True,False,False,False,False,True,False,False,False,,,2.0,,,,,,george_scanner_ocr,4,2,1,2,next_open,2026-03-25,2026-03-25 09:30:00,291.97,-73.7747,5.6853,-73.8501,stop_before_target,stop_before_target,False,False,True,bad_trade,True,-73.7747,5.6853,-73.8501,True,fixed_t4_s2,stop,closed,-2.0,-2.0,3.0,False,fixed_t4_s2,-2.0,-73.6137,next_open_path_labels,george_scanner_trade_universe_v1
2026-03-09,ISSC,2026-03-09|ISSC,bad,realistic_entry_triggered;best_entry_bad_trade;mae20_le_minus8,george_only,True,True,False,False,False,False,True,False,False,False,,,15.0,,,,,,george_scanner_ocr,4,3,2,3,next_open,2026-03-10,2026-03-10 09:30:00,29.55,-27.6819,4.7039,-35.3299,target_before_stop,stop_before_target,False,True,True,bad_trade,True,-27.6819,4.7039,-35.3299,True,fixed_t4_s2,target,closed,4.0,4.0,1.0,False,fixed_t4_s2,4.0,-30.0846,next_open_path_labels,george_scanner_trade_universe_v1
2026-03-06,RCAT,2026-03-06|RCAT,bad,realistic_entry_triggered;best_entry_bad_trade;mae20_le_minus8;stop_before_target4_2,george_only,True,True,False,False,False,False,True,False,False,False,,,7.0,,,,,,george_scanner_ocr,4,1,0,1,next_open,2026-03-09,2026-03-09 09:30:00,16.2,-18.5802,14.1358,-30.9877,stop_before_target,stop_before_target,False,True,True,bad_trade,True,-18.5802,14.1358,-30.9877,True,fixed_t4_s2,stop,closed,-2.0,-2.0,1.0,False,fixed_t4_s2,-2.0,-32.4074,next_open_path_labels,george_scanner_trade_universe_v1
2026-03-06,AG,2026-03-06|AG,bad,realistic_entry_triggered;best_entry_bad_trade;mae20_le_minus8;stop_before_target4_2,george_only,True,True,False,False,False,False,True,False,False,False,,,13.0,,,,,,george_scanner_ocr,4,2,1,2,next_open,2026-03-09,2026-03-09 09:30:00,25.2,-15.0794,9.6032,-29.0675,stop_before_target,stop_before_target,False,True,True,bad_trade,True,-15.0794,9.6032,-29.0675,True,giveback35_after8,giveback_stop,closed,6.2421,6.2421,3.0,False,giveback35_after8,6.2421,-23.0952,next_open_path_labels,george_scanner_trade_universe_v1
2026-02-17,LUV,2026-02-17|LUV,bad,realistic_entry_triggered;best_entry_bad_trade;mae20_le_minus8;stop_before_target4_2,both_george_and_kumo,True,True,False,True,False,True,True,False,False,True,105.0,7.0,2.0,,,,,,kumo_scanner;george_scanner_ocr,4,2,1,2,next_open,2026-02-18,2026-02-18 09:30:00,53.68,-23.3979,2.2541,-29.0425,stop_before_target,stop_before_target,False,False,True,bad_trade,True,-23.3979,2.2541,-29.0425,True,fixed_t4_s2,stop,closed,-2.0,-2.0,2.0,False,fixed_t4_s2,-2.0,-22.2988,next_open_path_labels,george_scanner_trade_universe_v1
2026-02-17,CCL,2026-02-17|CCL,bad,realistic_entry_triggered;best_entry_bad_trade;mae20_le_minus8;stop_before_target4_2,both_george_and_kumo,True,True,False,True,False,True,True,False,False,True,106.0,7.0,1.0,,Consumer Cyclical,Travel Services,Consumer Disc,XLY,kumo_scanner;george_scanner_ocr,4,2,1,2,next_open,2026-02-18,2026-02-18 09:30:00,32.16,-21.9216,3.1405,-27.0211,stop_before_target,stop_before_target,False,False,True,bad_trade,True,-21.9216,3.1405,-27.0211,True,fixed_t4_s2,stop,closed,-2.0,-2.0,2.0,False,fixed_t4_s2,-2.0,-10.3856,next_open_path_labels,george_scanner_trade_universe_v1
2026-02-09,ZM,2026-02-09|ZM,bad,realistic_entry_triggered;best_entry_bad_trade;mae20_le_minus8;stop_before_target4_2,both_george_and_kumo,True,True,False,True,False,True,True,False,False,True,291.0,7.0,12.0,,,,,,kumo_scanner;george_scanner_ocr,4,3,2,3,next_open,2026-02-10,2026-02-10 09:30:00,95.57,-20.0795,0.994,-26.0228,stop_before_target,stop_before_target,False,False,True,bad_trade,True,-20.0795,0.994,-26.0228,True,fixed_t4_s2,stop,closed,-2.0,-2.0,2.0,False,fixed_t4_s2,-2.0,-12.8388,next_open_path_labels,george_scanner_trade_universe_v1
2026-02-26,CCL,2026-02-26|CCL,bad,realistic_entry_triggered;best_entry_bad_trade;mae20_le_minus8;stop_before_target4_2,both_george_and_kumo,True,True,False,True,True,True,True,False,False,True,90.0,7.0,1.0,,Consumer Cyclical,Travel Services,Consumer Disc,XLY,kumo_scanner;kumo_top_n;george_scanner_ocr,4,2,1,2,next_open,2026-02-27,2026-02-27 09:30:00,31.38,-19.3716,1.8483,-25.2071,stop_before_target,stop_before_target,False,False,True,bad_trade,True,-19.3716,1.8483,-25.2071,True,fixed_t4_s2,stop,closed,-2.0,-2.0,2.0,False,fixed_t4_s2,-2.0,-13.5424,next_open_path_labels,george_scanner_trade_universe_v1
2026-03-03,DG,2026-03-03|DG,bad,realistic_entry_triggered;best_entry_bad_trade;mae20_le_minus8;stop_before_target4_2,both_george_and_kumo,True,True,False,True,False,True,True,False,False,True,158.0,6.0,4.0,,Consumer Defensive,Discount Stores,Consumer Staples,XLP,kumo_scanner;george_scanner_ocr,4,2,1,2,next_open,2026-03-04,2026-03-04 09:30:00,154.89,-23.3456,0.4003,-24.7208,stop_before_target,stop_before_target,False,False,True,bad_trade,True,-23.3456,0.4003,-24.7208,True,fixed_t4_s2,stop,closed,-2.0,-2.0,1.0,False,fixed_t4_s2,-2.0,-26.2832,next_open_path_labels,george_scanner_trade_universe_v1
