scan_date,symbol,opportunity_id,trade_bucket,reason_codes,source_bucket,trainable_scanner_evidence,george_signal_seen,george_video_only_context,kumo_signal_seen,kumo_top_n,both_george_and_kumo,george_scanner_positive,george_watchlist,george_video_mention,kumo_scanner,kumo_rank_by_score,kumo_score,george_rank,george_watchlist_rank,company_sector,company_industry,sector_category,sector_etf_proxy,source_tags,entry_assumption_count,triggered_entry_count,strict_triggered_entry_count,bad_triggered_entry_count,best_entry_assumption,best_entry_date,best_entry_time,best_entry_price,best_entry_ret_20d_close_pct,best_entry_mfe_20d_pct,best_entry_mae_20d_pct,best_entry_t4_s2_20d_outcome,best_entry_t8_s4_20d_outcome,best_entry_runner_candidate_20d,best_entry_normal_winner_20d,best_entry_bad_trade_20d,best_entry_outcome_20d,next_open_triggered,next_open_ret_20d_close_pct,next_open_mfe_20d_pct,next_open_mae_20d_pct,next_open_bad_trade_20d,best_deployable_exit_policy_id,best_deployable_exit_reason,best_deployable_exit_status,best_deployable_total_equity_ret_40d_pct,best_deployable_realized_ret_pct,best_deployable_exposure_sessions,best_deployable_runner_preserved_40d,oracle_best_exit_policy_id,oracle_best_total_equity_ret_40d_pct,hold_40d_total_equity_ret_40d_pct,exit_policy_entry_assumption,classification_version
2026-04-08,INTC,2026-04-08|INTC,optimal,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,both_george_and_kumo,True,True,False,True,True,True,True,False,False,True,1.0,8.0,7.0,,Technology,Semiconductors,AI/Semis,XLK,kumo_scanner;kumo_top_n;george_scanner_ocr,4,3,2,0,next_open,2026-04-09,2026-04-09 09:30:00,58.4,92.4658,94.3493,-0.0171,target_before_stop,target_before_stop,True,True,False,runner_candidate,True,92.4658,94.3493,-0.0171,False,swinglow3_after8,swing_low_break,closed,96.9178,96.9178,26.0,True,swinglow3_after8,96.9178,90.839,next_open_path_labels,george_scanner_trade_universe_v1
2026-03-10,CIEN,2026-03-10|CIEN,optimal,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,both_george_and_kumo,True,True,False,True,True,True,True,False,False,True,14.0,7.0,8.0,,Technology,Communication Equipment,Tech,XLK,kumo_scanner;kumo_top_n;george_scanner_ocr,4,3,2,0,next_open,2026-03-11,2026-03-11 09:30:00,333.89,49.085,49.5672,-1.3418,target_before_stop,target_before_stop,True,True,False,runner_candidate,True,49.085,49.5672,-1.3418,False,time10_lt2_hard6,horizon_mtm,open_at_horizon,71.6134,0.0,40.0,True,hold_40d_mtm,71.6134,71.6134,next_open_path_labels,george_scanner_trade_universe_v1
2026-04-01,WDC,2026-04-01|WDC,optimal,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,both_george_and_kumo,True,True,False,True,True,True,True,False,False,True,8.0,7.0,1.0,,Technology,Computer Hardware,Tech,XLK,kumo_scanner;kumo_top_n;george_scanner_ocr,4,2,1,0,next_open,2026-04-02,2026-04-02 09:30:00,278.17,49.006,61.7212,-0.0611,target_before_stop,target_before_stop,True,True,False,runner_candidate,True,49.006,61.7212,-0.0611,False,time10_lt2_hard6,horizon_mtm,open_at_horizon,90.96,0.0,40.0,True,hold_40d_mtm,90.96,90.96,next_open_path_labels,george_scanner_trade_universe_v1
2026-02-26,APA,2026-02-26|APA,optimal,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,both_george_and_kumo,True,True,False,True,False,True,True,False,False,True,211.0,6.0,3.0,,Energy,Oil & Gas E&P,Energy,XLE,kumo_scanner;george_scanner_ocr,4,3,2,0,next_open,2026-02-27,2026-02-27 09:30:00,29.59,44.6435,46.0629,-1.4187,target_before_stop,target_before_stop,True,True,False,runner_candidate,True,44.6435,46.0629,-1.4187,False,sector_etf_weak3d,sector_etf_3d_weakness,closed,39.7432,39.7432,24.0,True,sector_etf_weak3d,39.7432,27.5093,next_open_path_labels,george_scanner_trade_universe_v1
2026-04-01,FORM,2026-04-01|FORM,optimal,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,george_only,True,True,False,False,False,False,True,False,False,False,,,7.0,,,,,,george_scanner_ocr,4,3,2,0,next_open,2026-04-02,2026-04-02 09:30:00,95.86,41.8005,65.9608,-0.1669,target_before_stop,target_before_stop,True,True,False,runner_candidate,True,41.8005,65.9608,-0.1669,False,swinglow3_after8,swing_low_break,closed,47.3504,47.3504,17.0,True,swinglow3_after8,47.3504,29.9812,next_open_path_labels,george_scanner_trade_universe_v1
2026-04-01,FLEX,2026-04-01|FLEX,optimal,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,george_only,True,True,False,False,False,False,True,False,False,False,,,5.0,,,,,,george_scanner_ocr,4,3,2,0,next_open,2026-04-02,2026-04-02 09:30:00,65.86,39.007,40.7531,-0.4403,target_before_stop,target_before_stop,True,True,False,runner_candidate,True,39.007,40.7531,-0.4403,False,giveback35_after8,horizon_mtm,open_at_horizon,128.9402,0.0,40.0,True,hold_40d_mtm,128.9402,128.9402,next_open_path_labels,george_scanner_trade_universe_v1
2026-04-08,NVT,2026-04-08|NVT,optimal,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,george_only,True,True,False,False,False,False,True,False,False,False,,,2.0,,,,,,george_scanner_ocr,4,3,2,0,next_open,2026-04-09,2026-04-09 09:30:00,127.28,35.5201,37.0993,-0.1061,target_before_stop,target_before_stop,True,True,False,runner_candidate,True,35.5201,37.0993,-0.1061,False,time10_lt2_hard6,horizon_mtm,open_at_horizon,36.6122,0.0,40.0,True,hold_40d_mtm,36.6122,36.6122,next_open_path_labels,george_scanner_trade_universe_v1
2026-04-01,CIEN,2026-04-01|CIEN,optimal,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,both_george_and_kumo,True,True,False,True,True,True,True,False,False,True,23.0,7.0,3.0,,Technology,Communication Equipment,Tech,XLK,kumo_scanner;kumo_top_n;george_scanner_ocr,4,3,2,0,next_open,2026-04-02,2026-04-02 09:30:00,400.98,31.5726,32.1487,-0.2444,target_before_stop,target_before_stop,True,True,False,runner_candidate,True,31.5726,32.1487,-0.2444,False,time10_lt2_hard6,horizon_mtm,open_at_horizon,43.8955,0.0,40.0,True,hold_40d_mtm,43.8955,43.8955,next_open_path_labels,george_scanner_trade_universe_v1
2026-02-24,ADEA,2026-02-24|ADEA,optimal,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,george_only,True,True,False,False,False,False,True,False,False,False,,,7.0,,,,,,george_scanner_ocr,4,3,2,0,next_open,2026-02-25,2026-02-25 09:30:00,19.78,27.6036,28.5137,-2.5784,target_before_stop,target_before_stop,True,True,False,runner_candidate,True,27.6036,28.5137,-2.5784,False,time10_lt2_hard6,horizon_mtm,open_at_horizon,54.1456,0.0,40.0,True,hold_40d_mtm,54.1456,54.1456,next_open_path_labels,george_scanner_trade_universe_v1
2026-04-01,LITE,2026-04-01|LITE,optimal,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,both_george_and_kumo,True,True,False,True,True,True,True,False,False,True,7.0,7.0,2.0,,Technology,Communication Equipment,Tech,XLK,kumo_scanner;kumo_top_n;george_scanner_ocr,4,3,2,0,next_open,2026-04-02,2026-04-02 09:30:00,708.585,26.3081,35.4813,-0.1058,target_before_stop,target_before_stop,True,True,False,runner_candidate,True,26.3081,35.4813,-0.1058,False,sector_etf_weak3d,sector_etf_3d_weakness,closed,25.8423,25.8423,33.0,False,sector_etf_weak3d,25.8423,20.6574,next_open_path_labels,george_scanner_trade_universe_v1
