source_bucket,trade_bucket,reason_code,rows,bucket_trade_rows,pct_of_bucket_trade
both_george_and_kumo,bad,realistic_entry_triggered,118,118,100.0
both_george_and_kumo,bad,stop_before_target4_2,104,118,88.136
both_george_and_kumo,bad,best_entry_bad_trade,79,118,66.949
both_george_and_kumo,bad,mae20_le_minus8,61,118,51.695
both_george_and_kumo,optimal,normal_winner,30,30,100.0
both_george_and_kumo,optimal,realistic_entry_triggered,30,30,100.0
both_george_and_kumo,optimal,target4_before_stop2,29,30,96.667
both_george_and_kumo,optimal,mfe20_ge_8,18,30,60.0
both_george_and_kumo,optimal,ret20_ge_4,17,30,56.667
both_george_and_kumo,optimal,runner_candidate,12,30,40.0
both_george_and_kumo,watch,no_realistic_entry_triggered,217,218,99.541
both_george_and_kumo,watch,realistic_entry_triggered,1,218,0.459
george_only,bad,realistic_entry_triggered,121,121,100.0
george_only,bad,stop_before_target4_2,104,121,85.95
george_only,bad,mae20_le_minus8,78,121,64.463
george_only,bad,best_entry_bad_trade,72,121,59.504
george_only,optimal,normal_winner,29,29,100.0
george_only,optimal,realistic_entry_triggered,29,29,100.0
george_only,optimal,target4_before_stop2,28,29,96.552
george_only,optimal,mfe20_ge_8,23,29,79.31
george_only,optimal,ret20_ge_4,19,29,65.517
george_only,optimal,runner_candidate,18,29,62.069
george_only,watch,no_realistic_entry_triggered,137,140,97.857
george_only,watch,realistic_entry_triggered,3,140,2.143
george_with_video_context,watch,no_realistic_entry_triggered,56,56,100.0
