scan_date,symbol,opportunity_id,trade_bucket,reason_codes,source_bucket,trainable_scanner_evidence,george_signal_seen,george_video_only_context,kumo_signal_seen,kumo_top_n,both_george_and_kumo,george_scanner_positive,george_watchlist,george_video_mention,kumo_scanner,kumo_rank_by_score,kumo_score,george_rank,george_watchlist_rank,company_sector,company_industry,sector_category,sector_etf_proxy,source_tags,entry_assumption_count,triggered_entry_count,strict_triggered_entry_count,bad_triggered_entry_count,best_entry_assumption,best_entry_date,best_entry_time,best_entry_price,best_entry_ret_20d_close_pct,best_entry_mfe_20d_pct,best_entry_mae_20d_pct,best_entry_t4_s2_20d_outcome,best_entry_t8_s4_20d_outcome,best_entry_runner_candidate_20d,best_entry_normal_winner_20d,best_entry_bad_trade_20d,best_entry_outcome_20d,next_open_triggered,next_open_ret_20d_close_pct,next_open_mfe_20d_pct,next_open_mae_20d_pct,next_open_bad_trade_20d,best_deployable_exit_policy_id,best_deployable_exit_reason,best_deployable_exit_status,best_deployable_total_equity_ret_40d_pct,best_deployable_realized_ret_pct,best_deployable_exposure_sessions,best_deployable_runner_preserved_40d,oracle_best_exit_policy_id,oracle_best_total_equity_ret_40d_pct,hold_40d_total_equity_ret_40d_pct,exit_policy_entry_assumption,classification_version
2026-03-09,TPH,2026-03-09|TPH,watch,realistic_entry_triggered,george_only,True,True,False,False,False,False,True,False,False,False,,,3.0,,,,,,george_scanner_ocr,4,3,2,0,next_open,2026-03-10,2026-03-10 09:30:00,46.35,0.7767,0.9709,-0.2805,neither,neither,False,False,False,chop_or_unclear,True,0.7767,0.9709,-0.2805,False,fixed_t4_s2,horizon_mtm,open_at_horizon,1.0464,0.0,40.0,False,hold_40d_mtm,1.0464,1.0464,next_open_path_labels,george_scanner_trade_universe_v1
2026-03-10,TPH,2026-03-10|TPH,watch,realistic_entry_triggered,george_only,True,True,False,False,False,False,True,False,False,False,,,1.0,,,,,,george_scanner_ocr,4,1,0,0,next_open,2026-03-11,2026-03-11 09:30:00,46.42,0.6678,0.8509,-0.4308,neither,neither,False,False,False,chop_or_unclear,True,0.6678,0.8509,-0.4308,False,fixed_t4_s2,horizon_mtm,open_at_horizon,1.1633,0.0,40.0,False,hold_40d_mtm,1.1633,1.1633,next_open_path_labels,george_scanner_trade_universe_v1
2026-04-07,JHG,2026-04-07|JHG,watch,realistic_entry_triggered,george_only,True,True,False,False,False,False,True,False,False,False,,,8.0,,,,,,george_scanner_ocr,4,2,1,0,next_open,2026-04-08,2026-04-08 09:30:00,51.75,-0.3092,0.0,-0.6763,neither,neither,False,False,False,chop_or_unclear,True,-0.3092,0.0,-0.6763,False,fixed_t4_s2,horizon_mtm,open_at_horizon,0.0,0.0,40.0,False,hold_40d_mtm,0.0,0.0,next_open_path_labels,george_scanner_trade_universe_v1
2026-02-09,GTLS,2026-02-09|GTLS,watch,realistic_entry_triggered,both_george_and_kumo,True,True,False,True,False,True,True,False,False,True,329.0,7.0,13.0,,,,,,kumo_scanner;george_scanner_ocr,4,2,1,0,next_open,2026-02-10,2026-02-10 09:30:00,207.55,-0.3565,0.0675,-0.5011,neither,neither,False,False,False,chop_or_unclear,True,-0.3565,0.0675,-0.5011,False,fixed_t4_s2,horizon_mtm,open_at_horizon,0.0964,0.0,40.0,False,hold_40d_mtm,0.0964,0.0964,next_open_path_labels,george_scanner_trade_universe_v1
2026-03-02,SEE,2026-03-02|SEE,watch,no_realistic_entry_triggered,george_only,True,True,False,False,False,False,True,False,False,False,,,4.0,,,,,,george_scanner_ocr,4,0,0,0,,,,,,,,,,False,False,False,no_realistic_entry,True,0.2148,0.4296,-0.716,False,,,,,,,,,,,,george_scanner_trade_universe_v1
2026-03-03,GLDD,2026-03-03|GLDD,watch,no_realistic_entry_triggered,george_only,True,True,False,False,False,False,True,False,False,False,,,2.0,,,,,,george_scanner_ocr,4,0,0,0,,,,,,,,,,False,False,False,no_realistic_entry,True,0.1768,0.2946,-0.2946,False,,,,,,,,,,,,george_scanner_trade_universe_v1
2026-03-06,DAWN,2026-03-06|DAWN,watch,no_realistic_entry_triggered,george_only,True,True,False,False,False,False,True,False,False,False,,,6.0,,,,,,george_scanner_ocr,4,0,0,0,,,,,,,,,,False,False,False,no_realistic_entry,True,1.1798,1.3214,0.0,False,,,,,,,,,,,,george_scanner_trade_universe_v1
2026-03-11,CTRA,2026-03-11|CTRA,watch,no_realistic_entry_triggered,george_only,True,True,False,False,False,False,True,False,False,False,,,2.0,,,,,,george_scanner_ocr,4,0,0,0,,,,,,,,,,False,False,False,no_realistic_entry,True,6.1173,16.8938,-0.2219,False,,,,,,,,,,,,george_scanner_trade_universe_v1
2026-03-17,GLDD,2026-03-17|GLDD,watch,no_realistic_entry_triggered,george_only,True,True,False,False,False,False,True,False,False,False,,,8.0,,,,,,george_scanner_ocr,4,0,0,0,,,,,,,,,,False,False,False,no_realistic_entry,True,,0.3538,-0.1769,False,,,,,,,,,,,,george_scanner_trade_universe_v1
2026-03-18,TPH,2026-03-18|TPH,watch,no_realistic_entry_triggered,george_only,True,True,False,False,False,False,True,False,False,False,,,1.0,,,,,,george_scanner_ocr,4,0,0,0,,,,,,,,,,False,False,False,no_realistic_entry,True,0.645,0.7525,0.0,False,,,,,,,,,,,,george_scanner_trade_universe_v1
2026-03-24,GLDD,2026-03-24|GLDD,watch,no_realistic_entry_triggered,george_only,True,True,False,False,False,False,True,False,False,False,,,7.0,,,,,,george_scanner_ocr,4,0,0,0,,,,,,,,,,False,False,False,no_realistic_entry,True,,0.2356,-0.1178,False,,,,,,,,,,,,george_scanner_trade_universe_v1
2026-04-10,CTVA,2026-04-10|CTVA,watch,no_realistic_entry_triggered,both_george_and_kumo,True,True,False,True,False,True,True,False,False,True,199.0,6.0,1.0,,Basic Materials,Agricultural Inputs,Materials,XLB,kumo_scanner;george_scanner_ocr,4,0,0,0,,,,,,,,,,False,False,False,no_realistic_entry,True,-4.5735,0.5286,-6.9138,True,,,,,,,,,,,,george_scanner_trade_universe_v1
2026-04-10,MEOH,2026-04-10|MEOH,watch,no_realistic_entry_triggered,george_only,True,True,False,False,False,False,True,False,False,False,,,5.0,,,,,,george_scanner_ocr,4,0,0,0,,,,,,,,,,False,False,False,no_realistic_entry,True,-1.7146,8.0993,-14.435,True,,,,,,,,,,,,george_scanner_trade_universe_v1
2026-04-10,NXT,2026-04-10|NXT,watch,no_realistic_entry_triggered,george_only,True,True,False,False,False,False,True,False,False,False,,,7.0,,,,,,george_scanner_ocr,4,0,0,0,,,,,,,,,,False,False,False,no_realistic_entry,True,6.812,11.342,-12.0037,False,,,,,,,,,,,,george_scanner_trade_universe_v1
2026-04-10,PARR,2026-04-10|PARR,watch,no_realistic_entry_triggered,george_only,True,True,False,False,False,False,True,False,False,False,,,6.0,,,,,,george_scanner_ocr,4,0,0,0,,,,,,,,,,False,False,False,no_realistic_entry,True,0.0466,9.4032,-16.0709,False,,,,,,,,,,,,george_scanner_trade_universe_v1
2026-04-10,PR,2026-04-10|PR,watch,no_realistic_entry_triggered,george_only,True,True,False,False,False,False,True,False,False,False,,,4.0,,,,,,george_scanner_ocr,4,0,0,0,,,,,,,,,,False,False,False,no_realistic_entry,True,-5.1923,9.0144,-9.1827,True,,,,,,,,,,,,george_scanner_trade_universe_v1
2026-04-10,TR,2026-04-10|TR,watch,no_realistic_entry_triggered,george_only,True,True,False,False,False,False,True,False,False,False,,,2.0,,,,,,george_scanner_ocr,4,0,0,0,,,,,,,,,,False,False,False,no_realistic_entry,True,-4.1056,0.5414,-8.8622,True,,,,,,,,,,,,george_scanner_trade_universe_v1
2026-04-10,VO,2026-04-10|VO,watch,no_realistic_entry_triggered,george_only,True,True,False,False,False,False,True,False,False,False,,,3.0,,,,,,george_scanner_ocr,4,0,0,0,,,,,,,,,,False,False,False,no_realistic_entry,True,-73.9226,4.2992,-74.4567,True,,,,,,,,,,,,george_scanner_trade_universe_v1
2026-04-13,CVE,2026-04-13|CVE,watch,no_realistic_entry_triggered,george_only,True,True,False,False,False,False,True,False,False,False,,,2.0,,,,,,george_scanner_ocr,4,0,0,0,,,,,,,,,,False,False,False,no_realistic_entry,True,11.6047,18.1348,-9.077,False,,,,,,,,,,,,george_scanner_trade_universe_v1
2026-04-13,DAR,2026-04-13|DAR,watch,no_realistic_entry_triggered,george_only,True,True,False,False,False,False,True,False,False,False,,,4.0,,,,,,george_scanner_ocr,4,0,0,0,,,,,,,,,,False,False,False,no_realistic_entry,True,3.9752,7.5595,-9.042,False,,,,,,,,,,,,george_scanner_trade_universe_v1
2026-04-13,HAL,2026-04-13|HAL,watch,no_realistic_entry_triggered,both_george_and_kumo,True,True,False,True,False,True,True,False,False,True,164.0,6.0,1.0,,Energy,Oil & Gas Equipment & Services,Energy,XLE,kumo_scanner;george_scanner_ocr,4,0,0,0,,,,,,,,,,False,False,False,no_realistic_entry,True,5.1449,10.8906,-7.2604,False,,,,,,,,,,,,george_scanner_trade_universe_v1
