policy_name,score_type,action,support,predicted,precision_pct,recall_pct,f1
entry_policy,predicted_action,avoid_bad_entry,75678,95926,63.951,81.062,0.715
entry_policy,predicted_action,enter_now,29311,20807,40.506,28.754,0.3363
entry_policy,predicted_action,wait,24131,12387,43.247,22.2,0.2934
entry_policy,baseline_action,avoid_bad_entry,75678,18055,82.62,19.711,0.3183
entry_policy,baseline_action,enter_now,29311,35661,33.748,41.06,0.3705
entry_policy,baseline_action,wait,24131,75404,19.389,60.586,0.2938
management_policy,predicted_action,do_not_cut_runner,937,2961,26.106,82.497,0.3966
management_policy,predicted_action,exit_loser,18025,24232,71.207,95.728,0.8167
management_policy,predicted_action,hold_or_wait,8868,12515,33.04,46.628,0.3868
management_policy,predicted_action,hold_winner,29279,10106,41.183,14.215,0.2113
management_policy,predicted_action,protect_profit,142,0,0.0,0.0,0.0
management_policy,predicted_action,scratch_or_reduce,60121,67558,64.198,72.14,0.6794
management_policy,baseline_action,do_not_cut_runner,937,0,0.0,0.0,0.0
management_policy,baseline_action,exit_loser,18025,9008,97.469,48.71,0.6496
management_policy,baseline_action,hold_or_wait,8868,92222,9.466,98.444,0.1727
management_policy,baseline_action,hold_winner,29279,15742,42.352,22.771,0.2962
management_policy,baseline_action,protect_profit,142,400,3.5,9.859,0.0517
management_policy,baseline_action,scratch_or_reduce,60121,0,0.0,0.0,0.0
