policy_name,group_col,group_value,rows,model_accuracy_pct,baseline_accuracy_pct
entry_policy,scanner_source_bucket,both_george_and_kumo,2172,30.018,44.061
entry_policy,scanner_source_bucket,george_only,2076,33.478,54.913
entry_policy,scanner_source_bucket,kumo_only,122034,59.172,31.685
entry_policy,scanner_source_bucket,kumo_with_george_video_context,2838,55.462,28.471
entry_policy,month,2025-07,9000,64.256,25.489
entry_policy,month,2025-08,12600,64.421,31.452
entry_policy,month,2025-09,12600,63.246,34.643
entry_policy,month,2025-10,13800,69.783,31.391
entry_policy,month,2025-11,11400,65.061,30.298
entry_policy,month,2025-12,13200,59.765,31.947
entry_policy,month,2026-01,12000,57.808,34.417
entry_policy,month,2026-02,12066,68.225,22.725
entry_policy,month,2026-03,13836,75.954,18.459
entry_policy,month,2026-04,12828,20.432,48.028
entry_policy,month,2026-05,5490,0.492,57.741
entry_policy,month,2026-06,300,0.0,63.333
entry_policy,fold_490,1.0,27600,63.692,30.591
entry_policy,fold_490,2.0,27600,67.514,31.359
entry_policy,fold_490,3.0,27600,59.362,32.344
entry_policy,fold_490,4.0,28332,71.894,21.809
entry_policy,fold_490,5.0,17988,12.036,52.079
management_policy,scanner_source_bucket,both_george_and_kumo,894,65.101,18.009
management_policy,scanner_source_bucket,george_only,918,66.993,25.272
management_policy,scanner_source_bucket,kumo_only,112746,59.354,20.747
management_policy,scanner_source_bucket,kumo_with_george_video_context,2814,56.148,14.463
management_policy,month,2025-07,13049,60.602,18.791
management_policy,month,2025-08,12533,57.313,25.596
management_policy,month,2025-09,12446,56.259,27.27
management_policy,month,2025-10,13682,64.391,24.324
management_policy,month,2025-11,11258,59.851,20.297
management_policy,month,2025-12,13021,52.277,21.842
management_policy,month,2026-01,11905,50.886,21.1
management_policy,month,2026-02,12035,62.867,12.987
management_policy,month,2026-03,13769,68.727,14.293
management_policy,month,2026-04,3674,58.819,17.338
management_policy,fold_490,1.0,23185,59.09,21.41
management_policy,fold_490,2.0,23171,59.881,26.477
management_policy,fold_490,3.0,23079,58.027,22.358
management_policy,fold_490,4.0,23372,52.867,19.69
management_policy,fold_490,5.0,24565,66.652,13.556
