head_name,group_col,group_value,rows,accuracy_pct
entry_bad_risk_head,scanner_source_bucket,both_george_and_kumo,2172,32.182
entry_bad_risk_head,scanner_source_bucket,george_only,2076,32.563
entry_bad_risk_head,scanner_source_bucket,kumo_only,122034,62.4
entry_bad_risk_head,scanner_source_bucket,kumo_with_george_video_context,2838,58.104
entry_bad_risk_head,month,2025-07,9000,62.111
entry_bad_risk_head,month,2025-08,12600,67.571
entry_bad_risk_head,month,2025-09,12600,66.825
entry_bad_risk_head,month,2025-10,13800,66.464
entry_bad_risk_head,month,2025-11,11400,66.07
entry_bad_risk_head,month,2025-12,13200,65.644
entry_bad_risk_head,month,2026-01,12000,68.725
entry_bad_risk_head,month,2026-02,12066,64.86
entry_bad_risk_head,month,2026-03,13836,73.786
entry_bad_risk_head,month,2026-04,12828,32.975
entry_bad_risk_head,month,2026-05,5490,13.916
entry_bad_risk_head,month,2026-06,300,1.333
entry_bad_risk_head,fold_490_dual,1.0,27600,65.779
entry_bad_risk_head,fold_490_dual,2.0,27600,66.138
entry_bad_risk_head,fold_490_dual,3.0,27600,67.04
entry_bad_risk_head,fold_490_dual,4.0,28332,69.755
entry_bad_risk_head,fold_490_dual,5.0,17988,25.006
entry_winner_preservation_head,scanner_source_bucket,both_george_and_kumo,2172,85.589
entry_winner_preservation_head,scanner_source_bucket,george_only,2076,86.079
entry_winner_preservation_head,scanner_source_bucket,kumo_only,122034,73.95
entry_winner_preservation_head,scanner_source_bucket,kumo_with_george_video_context,2838,63.989
entry_winner_preservation_head,month,2025-07,9000,78.867
entry_winner_preservation_head,month,2025-08,12600,74.238
entry_winner_preservation_head,month,2025-09,12600,72.373
entry_winner_preservation_head,month,2025-10,13800,77.362
entry_winner_preservation_head,month,2025-11,11400,69.868
entry_winner_preservation_head,month,2025-12,13200,67.826
entry_winner_preservation_head,month,2026-01,12000,62.475
entry_winner_preservation_head,month,2026-02,12066,73.032
entry_winner_preservation_head,month,2026-03,13836,77.942
entry_winner_preservation_head,month,2026-04,12828,81.096
entry_winner_preservation_head,month,2026-05,5490,86.703
entry_winner_preservation_head,month,2026-06,300,95.0
entry_winner_preservation_head,fold_490_dual,1.0,27600,74.62
entry_winner_preservation_head,fold_490_dual,2.0,27600,74.822
entry_winner_preservation_head,fold_490_dual,3.0,27600,65.877
entry_winner_preservation_head,fold_490_dual,4.0,28332,75.208
entry_winner_preservation_head,fold_490_dual,5.0,17988,83.222
entry_ready_head,scanner_source_bucket,both_george_and_kumo,2172,88.49
entry_ready_head,scanner_source_bucket,george_only,2076,86.85
entry_ready_head,scanner_source_bucket,kumo_only,122034,74.514
entry_ready_head,scanner_source_bucket,kumo_with_george_video_context,2838,64.2
entry_ready_head,month,2025-07,9000,79.411
entry_ready_head,month,2025-08,12600,74.635
entry_ready_head,month,2025-09,12600,72.754
entry_ready_head,month,2025-10,13800,78.536
entry_ready_head,month,2025-11,11400,69.851
entry_ready_head,month,2025-12,13200,67.924
entry_ready_head,month,2026-01,12000,63.033
entry_ready_head,month,2026-02,12066,73.148
entry_ready_head,month,2026-03,13836,77.436
entry_ready_head,month,2026-04,12828,83.209
entry_ready_head,month,2026-05,5490,89.654
entry_ready_head,month,2026-06,300,98.0
entry_ready_head,fold_490_dual,1.0,27600,74.957
entry_ready_head,fold_490_dual,2.0,27600,75.562
entry_ready_head,fold_490_dual,3.0,27600,66.199
entry_ready_head,fold_490_dual,4.0,28332,74.996
entry_ready_head,fold_490_dual,5.0,17988,85.707
management_exit_risk_head,scanner_source_bucket,both_george_and_kumo,894,77.069
management_exit_risk_head,scanner_source_bucket,george_only,918,77.233
management_exit_risk_head,scanner_source_bucket,kumo_only,112746,67.602
management_exit_risk_head,scanner_source_bucket,kumo_with_george_video_context,2814,63.539
