variant_id,hold_bucket,trades,pnl,avg_return_pct,median_return_pct,win_rate_pct
p_only_base,0-3d,24,1399.268,1.412,0.086,58.333
p_only_base,4-10d,12,2618.799,5.589,7.025,75.0
p_only_base,11-30d,38,9852.092,6.612,6.646,97.368
p_only_base,31-60d,13,3868.464,7.34,6.962,100.0
p_only_base,60d+,23,5638.749,6.31,5.963,91.304
target_04_fast_take,0-3d,17,3093.379,4.535,4.734,94.118
target_04_fast_take,4-10d,18,3518.385,4.894,4.876,100.0
target_04_fast_take,11-30d,39,8549.509,5.58,5.188,100.0
target_04_fast_take,31-60d,15,4919.014,7.995,5.027,100.0
target_04_fast_take,60d+,22,4305.988,4.981,4.934,95.455
target_08_let_run,0-3d,19,958.258,1.157,0.6,68.421
target_08_let_run,4-10d,5,1498.928,7.508,9.259,100.0
target_08_let_run,11-30d,34,9330.158,6.865,7.86,94.118
target_08_let_run,31-60d,18,6049.87,8.504,8.6,100.0
target_08_let_run,60d+,24,5542.329,5.972,6.11,87.5
giveback_tight_no_bull,0-3d,20,1526.19,1.873,0.683,75.0
giveback_tight_no_bull,4-10d,17,3825.306,5.428,6.319,88.235
giveback_tight_no_bull,11-30d,45,10484.558,5.91,6.45,97.778
giveback_tight_no_bull,31-60d,10,4030.652,9.95,5.935,100.0
giveback_tight_no_bull,60d+,25,4948.368,5.057,5.191,100.0
combo_gb_buy005,0-3d,14,1447.566,2.565,1.298,71.429
combo_gb_buy005,4-10d,22,4527.086,5.042,6.045,86.364
combo_gb_buy005,11-30d,49,10001.984,5.196,6.091,95.918
combo_gb_buy005,31-60d,12,3792.685,7.732,3.964,100.0
combo_gb_buy005,60d+,22,4149.905,4.835,4.714,100.0
combo_t08_buy005,0-3d,9,240.796,0.558,-0.617,44.444
combo_t08_buy005,4-10d,7,2422.503,8.834,8.627,100.0
combo_t08_buy005,11-30d,31,8439.462,6.845,8.034,96.774
combo_t08_buy005,31-60d,21,6765.864,8.224,8.896,95.238
combo_t08_buy005,60d+,23,5180.143,5.829,6.78,86.957
