variant_id,family,base_module,window,ok,orders,funnel_signal_winners,funnel_regime_pass,funnel_regime_blocked_days,funnel_preflight_pass,funnel_gap_eligible,funnel_confirm_fire,funnel_injection_survives,funnel_sized,funnel_cash_ok,funnel_orders,scanner_funnel_days,scanner_funnel_raw_candidates,scanner_funnel_ranked_candidates,scanner_funnel_rank_history_eligible,scanner_funnel_selected,scanner_funnel_top10_observations,scanner_funnel_top10_seen_last_1,scanner_funnel_top10_seen_last_5,scanner_funnel_top10_seen_last_20,scanner_funnel_top20_observations,scanner_funnel_top20_seen_last_1,scanner_funnel_top20_seen_last_5,scanner_funnel_top20_seen_last_20,scanner_funnel_top50_observations,scanner_funnel_top50_seen_last_1,scanner_funnel_top50_seen_last_5,scanner_funnel_top50_seen_last_20,result_path
giveback_no_bull_rh_off,rank_history_control,strategies.realized_giveback_no_bull,fy2025_full,True,341,5750,5750,0,0,0,0,0,0,0,182,,,,,,,,,,,,,,,,,,sweeps/runs/rank_history_requalification_fy2025_487/giveback_no_bull_rh_off/36f10f9c1685/fy2025_full/backtests/2026-06-12_02-25-06/1936535340.json
giveback_no_bull_rh_dynamic_score_medium,rank_history_dynamic_control,strategies.realized_giveback_no_bull,fy2025_full,True,165,1344,1344,0,0,0,0,0,0,0,86,,,,,,,,,,,,,,,,,,sweeps/runs/rank_history_requalification_fy2025_487/giveback_no_bull_rh_dynamic_score_medium/ee39b7e00283/fy2025_full/backtests/2026-06-12_02-26-18/1660242473.json
giveback_no_bull_rh_requal_core50,rank_history_requalification,strategies.realized_giveback_no_bull,fy2025_full,True,301,5737,5737,0,0,0,0,0,0,0,162,,,,,,,,,,,,,,,,,,sweeps/runs/rank_history_requalification_fy2025_487/giveback_no_bull_rh_requal_core50/559eb9d30b47/fy2025_full/backtests/2026-06-12_02-25-42/1689962748.json
giveback_no_bull_rh_requal_entry,rank_history_entry,strategies.realized_giveback_no_bull,fy2025_full,True,315,5737,5737,0,0,0,0,0,0,0,169,250,5750,5750,5737,5737,2500,1419,2287,2473,5000,4438,4973,4977,5750,5727,5727,5727,sweeps/runs/rank_history_requalification_fy2025_487/giveback_no_bull_rh_requal_entry/912c5519f35e/fy2025_full/backtests/2026-06-12_03-00-26/1836001909.json
giveback_no_bull_rh_requal_sizing,rank_history_sizing,strategies.realized_giveback_no_bull,fy2025_full,True,265,5737,5737,0,0,0,0,0,143,143,143,250,5750,5750,5737,5737,2500,1419,2287,2473,5000,4438,4973,4977,5750,5727,5727,5727,sweeps/runs/rank_history_requalification_fy2025_487_retries/397c22ba12b7/fy2025_full/backtests/2026-06-12_06-01-20/1171033205.json
giveback_no_bull_rh_requal_entry_sizing,rank_history_entry_sizing,strategies.realized_giveback_no_bull,fy2025_full,True,270,5737,5737,0,0,0,0,0,146,146,146,250,5750,5750,5737,5737,2500,1419,2287,2473,5000,4438,4973,4977,5750,5727,5727,5727,sweeps/runs/rank_history_requalification_fy2025_487/giveback_no_bull_rh_requal_entry_sizing/ef66d4d05d69/fy2025_full/backtests/2026-06-12_03-01-42/1116846306.json
target04_fast_take_rh_off,rank_history_control,strategies.realized_target_04_fast_take,fy2025_full,True,275,5750,5750,0,0,0,0,0,0,0,149,,,,,,,,,,,,,,,,,,sweeps/runs/rank_history_requalification_fy2025_487/target04_fast_take_rh_off/36f10f9c1685/fy2025_full/backtests/2026-06-12_03-01-07/1441999565.json
target04_fast_take_rh_dynamic_score_medium,rank_history_dynamic_control,strategies.realized_target_04_fast_take,fy2025_full,True,155,1359,1359,0,0,0,0,0,0,0,82,250,3003,3003,0,1359,2421,2105,2386,2398,2954,2896,2931,2931,3003,2980,2980,2980,sweeps/runs/rank_history_requalification_fy2025_487/target04_fast_take_rh_dynamic_score_medium/ee39b7e00283/fy2025_full/backtests/2026-06-12_03-36-45/1951212517.json
target04_fast_take_rh_requal_core50,rank_history_requalification,strategies.realized_target_04_fast_take,fy2025_full,True,263,5737,5737,0,0,0,0,0,0,0,143,250,5750,5750,5737,5737,2500,1419,2287,2473,5000,4438,4973,4977,5750,5727,5727,5727,sweeps/runs/rank_history_requalification_fy2025_487/target04_fast_take_rh_requal_core50/559eb9d30b47/fy2025_full/backtests/2026-06-12_03-37-32/1598552189.json
target04_fast_take_rh_requal_entry,rank_history_entry,strategies.realized_target_04_fast_take,fy2025_full,True,263,5737,5737,0,0,0,0,0,0,0,143,250,5750,5750,5737,5737,2500,1419,2287,2473,5000,4438,4973,4977,5750,5727,5727,5727,sweeps/runs/rank_history_requalification_fy2025_487/target04_fast_take_rh_requal_entry/912c5519f35e/fy2025_full/backtests/2026-06-12_03-38-10/1700468113.json
