target,feature,coef_mean,coef_abs_mean,coef_std
bad_risk,gap_abs_pct_in_day,0.220178,0.220178,0.039617
bad_risk,sector_cat_financials,0.13111,0.13111,0.00925
bad_risk,kumo_gap_negative_abs,0.074953,0.074953,0.011981
bad_risk,sector_cat_energy,0.051758,0.067364,0.047521
bad_risk,sector_cat_healthcare,0.062569,0.062569,0.055997
bad_risk,sector_cat_materials,0.051931,0.051931,0.006226
bad_risk,relvol_pct_in_day,0.03176,0.047709,0.039971
bad_risk,sector_cat_utilities,0.04019,0.040684,0.025754
bad_risk,sector_cat_industrials,0.040125,0.040125,0.01464
bad_risk,gap_pct_in_day,-0.037122,0.037122,0.019987
bad_risk,rank_le_10,-0.014422,0.030162,0.035408
bad_risk,rank_le_20,0.029225,0.029225,0.020696
bad_risk,rank_le_50,0.022147,0.022147,0.011686
bad_risk,dollar_vol_pct_in_day,-0.005136,0.02181,0.023478
bad_risk,kumo_rank_pct_in_day,-0.019767,0.019767,0.005267
bad_risk,kumo_gap_abs,0.019401,0.019401,0.007221
bad_risk,kumo_rank_by_score,-0.018908,0.018908,0.006396
bad_risk,kumo_rank_inverse,0.018908,0.018908,0.006396
bad_risk,score_x_rank_pct,0.018645,0.018645,0.006137
bad_risk,kumo_close_log,0.004365,0.018348,0.021125
bad_risk,gap_lt_minus5,0.009613,0.018325,0.018642
bad_risk,relvol_x_gap_ok,-0.017412,0.017412,0.01012
bad_risk,sector_cat_real_estate,0.012156,0.017323,0.023081
bad_risk,kumo_dollar_vol_log,0.001068,0.014048,0.014379
bad_risk,gap_between_minus2_5,-0.013113,0.01371,0.009827
bad_risk,score_x_gap_ok,-0.01166,0.013463,0.009952
bad_risk,gap_gt_8,0.002494,0.011995,0.015988
bad_risk,kumo_gap_positive,0.009249,0.010758,0.007881
bad_risk,kumo_volume_log,-0.000106,0.007954,0.008483
bad_risk,score_pct_in_day,-0.007495,0.007758,0.008918
bad_risk,score_ge_8,0.00543,0.007271,0.008681
bad_risk,kumo_score,0.00641,0.00641,0.007718
bad_risk,kumo_gap_pct,-0.000779,0.006375,0.009021
bad_risk,score_ge_7,0.003638,0.004354,0.008201
bad_risk,kumo_vol_ratio_20d,0.001906,0.003639,0.004229
bad_risk,is_kumo_top_n,0.000585,0.000585,0.00117
bad_risk,has_company_sector,0.0,0.0,0.0
bad_risk,has_company_industry,0.0,0.0,0.0
bad_risk,has_sector_proxy,0.0,0.0,0.0
bad_risk,sector_cat_communication_services,0.0,0.0,0.0
bad_risk,sector_cat_consumer_cyclical,0.0,0.0,0.0
bad_risk,sector_cat_consumer_defensive,0.0,0.0,0.0
bad_risk,sector_cat_technology,0.0,0.0,0.0
optimal,sector_cat_financials,-0.079334,0.079334,0.012271
optimal,gap_abs_pct_in_day,0.074891,0.074891,0.016982
optimal,sector_cat_healthcare,-0.049116,0.051459,0.060426
optimal,sector_cat_energy,-0.028887,0.050085,0.044357
optimal,sector_cat_utilities,-0.033272,0.036824,0.027507
optimal,sector_cat_real_estate,0.019043,0.036202,0.034457
optimal,gap_between_minus2_5,0.030139,0.030139,0.007833
optimal,kumo_close_log,0.021742,0.029884,0.027929
optimal,rank_le_50,-0.027938,0.027938,0.011833
optimal,score_x_gap_ok,0.025397,0.025397,0.008856
optimal,sector_cat_industrials,0.024904,0.024904,0.011344
optimal,kumo_dollar_vol_log,0.012899,0.024526,0.025632
optimal,gap_lt_minus5,-0.020045,0.021065,0.016949
optimal,gap_gt_8,-0.020975,0.020975,0.009478
optimal,relvol_pct_in_day,-0.02019,0.02043,0.015817
optimal,rank_le_10,0.00925,0.019854,0.025273
optimal,dollar_vol_pct_in_day,-0.009356,0.014839,0.017565
optimal,kumo_rank_pct_in_day,0.011343,0.011755,0.009178
optimal,kumo_rank_by_score,0.011655,0.011655,0.00877
optimal,kumo_rank_inverse,-0.011655,0.011655,0.00877
optimal,kumo_gap_pct,-0.01133,0.01133,0.005931
optimal,score_x_rank_pct,-0.011179,0.011191,0.008461
optimal,gap_pct_in_day,0.008542,0.010835,0.009506
optimal,kumo_gap_positive,-0.010188,0.010188,0.005684
optimal,rank_le_20,0.005958,0.009132,0.009782
optimal,kumo_gap_abs,-0.008584,0.008921,0.006084
optimal,kumo_vol_ratio_20d,-0.00851,0.00851,0.00373
optimal,relvol_x_gap_ok,-0.00842,0.00842,0.011797
optimal,score_pct_in_day,0.008055,0.008055,0.006827
optimal,sector_cat_materials,-4.2e-05,0.00802,0.008628
optimal,kumo_gap_negative_abs,0.006046,0.007553,0.007599
optimal,kumo_score,-0.007293,0.007293,0.005522
optimal,score_ge_8,-0.006307,0.006393,0.006322
optimal,kumo_volume_log,-0.006197,0.006197,0.002893
optimal,score_ge_7,-0.003877,0.003877,0.004841
optimal,is_kumo_top_n,-0.000473,0.000473,0.000945
optimal,has_company_sector,0.0,0.0,0.0
optimal,has_company_industry,0.0,0.0,0.0
optimal,has_sector_proxy,0.0,0.0,0.0
optimal,sector_cat_communication_services,0.0,0.0,0.0
optimal,sector_cat_consumer_cyclical,0.0,0.0,0.0
optimal,sector_cat_consumer_defensive,0.0,0.0,0.0
optimal,sector_cat_technology,0.0,0.0,0.0
