target,fold,train_start,train_end,valid_start,valid_end,train_rows,valid_rows,train_positive_pct,coef_nonzero
optimal,1,2025-05-05,2025-07-07,2025-07-08,2025-09-05,4300,4300,29.488,34
bad_risk,1,2025-05-05,2025-07-07,2025-07-08,2025-09-05,4300,4300,60.86,34
optimal,2,2025-05-05,2025-09-05,2025-09-08,2025-11-05,8600,4300,27.407,34
bad_risk,2,2025-05-05,2025-09-05,2025-09-08,2025-11-05,8600,4300,61.826,34
optimal,3,2025-05-05,2025-11-05,2025-11-06,2026-01-07,12900,4200,25.124,34
bad_risk,3,2025-05-05,2025-11-05,2025-11-06,2026-01-07,12900,4200,64.047,34
optimal,4,2025-05-05,2026-01-07,2026-01-08,2026-03-10,17100,4264,26.813,35
bad_risk,4,2025-05-05,2026-01-07,2026-01-08,2026-03-10,17100,4264,62.708,35
optimal,5,2025-05-05,2026-03-10,2026-03-11,2026-05-08,21364,4221,26.357,36
bad_risk,5,2025-05-05,2026-03-10,2026-03-11,2026-05-08,21364,4221,64.618,36
