score,k,dates,selected_rows,optimal_rows,optimal_hits,optimal_recall_pct,optimal_precision_pct,bad_trade_pct_topk,watch_pct_topk,ndcg_mean,avg_best_entry_ret20_topk_pct,avg_best_entry_mfe20_topk_pct,avg_best_entry_mae20_topk_pct,avg_deployable_ret40_topk_pct
baseline_492_kumo_rank_score,5,190,950,4941,209,4.23,22.0,70.737,7.263,0.2388,2.067,10.7396,-8.2989,7.4296
baseline_492_kumo_rank_score,10,190,1900,4941,430,8.703,22.632,70.632,6.737,0.2399,1.4593,10.0678,-8.1019,6.0795
baseline_492_kumo_rank_score,20,190,3800,4941,960,19.429,25.263,68.474,6.263,0.266,2.2276,10.3378,-7.469,6.3381
baseline_492_kumo_rank_score,50,190,9500,4941,2463,49.848,25.926,67.221,6.853,0.3833,2.4302,9.9958,-7.0195,6.3571
baseline_492_kumo_score,5,190,950,4941,257,5.201,27.053,66.211,6.737,0.29,2.0682,9.7474,-7.2383,5.7653
baseline_492_kumo_score,10,190,1900,4941,486,9.836,25.579,68.158,6.263,0.2763,2.2349,10.1848,-7.435,5.9491
baseline_492_kumo_score,20,190,3800,4941,981,19.854,25.816,68.105,6.079,0.2857,2.3972,9.8272,-7.0112,5.8646
baseline_492_kumo_score,50,190,9500,4941,2399,48.553,25.253,66.158,8.589,0.3897,2.1283,9.2872,-6.7662,5.863
baseline_492_rule_score,5,190,950,4941,252,5.1,26.526,67.684,5.789,0.2768,0.8531,7.6319,-6.732,5.1961
baseline_492_rule_score,10,190,1900,4941,491,9.937,25.842,67.737,6.421,0.2722,1.0833,7.8237,-6.6841,5.1191
baseline_492_rule_score,20,190,3800,4941,975,19.733,25.658,66.816,7.526,0.2803,1.7441,8.4773,-6.5385,5.646
baseline_492_rule_score,50,190,9500,4941,2463,49.848,25.926,65.442,8.632,0.3932,1.8188,8.2511,-6.3081,5.7331
prior_467_combined_score,5,190,950,4941,215,4.351,22.632,76.316,1.053,0.2337,7.0406,24.6566,-13.2637,12.9581
prior_467_combined_score,10,190,1900,4941,441,8.925,23.211,75.842,0.947,0.2362,5.7297,21.1366,-12.1948,11.493
prior_467_combined_score,20,190,3800,4941,934,18.903,24.579,74.421,1.0,0.2546,4.7505,17.8077,-10.8879,10.085
prior_467_combined_score,50,190,9500,4941,2524,51.083,26.568,71.505,1.926,0.3807,3.216,12.7725,-8.5911,7.9792
prior_467_trade_worthy_score,5,190,950,4941,212,4.291,22.316,76.421,1.263,0.2202,5.5146,21.5643,-12.3773,11.1448
prior_467_trade_worthy_score,10,190,1900,4941,439,8.885,23.105,75.737,1.158,0.2278,4.8443,18.9033,-11.4705,10.3989
prior_467_trade_worthy_score,20,190,3800,4941,923,18.68,24.289,74.316,1.395,0.2478,4.4105,16.6118,-10.411,9.6667
prior_467_trade_worthy_score,50,190,9500,4941,2484,50.273,26.147,71.684,2.168,0.3717,3.1138,12.5277,-8.53,7.8118
prior_467_runner_score,5,190,950,4941,218,4.412,22.947,76.105,0.947,0.2337,7.2134,25.0422,-13.455,13.3511
prior_467_runner_score,10,190,1900,4941,458,9.269,24.105,75.053,0.842,0.2417,6.4972,22.0297,-12.0556,12.095
prior_467_runner_score,20,190,3800,4941,966,19.551,25.421,73.658,0.921,0.2604,5.0774,18.0195,-10.7153,10.3652
prior_467_runner_score,50,190,9500,4941,2571,52.034,27.063,70.979,1.958,0.3871,3.3587,12.8336,-8.5046,8.12
model_492_optimal_score,5,190,950,4941,241,4.878,25.368,72.211,2.421,0.2593,1.046,9.1835,-7.724,5.773
model_492_optimal_score,10,190,1900,4941,496,10.038,26.105,70.789,3.105,0.2647,1.1048,9.46,-7.7462,6.2005
model_492_optimal_score,20,190,3800,4941,948,19.186,24.947,71.474,3.579,0.2695,1.2597,9.3567,-7.7126,6.1261
model_492_optimal_score,50,190,9500,4941,2422,49.018,25.495,68.779,5.726,0.3839,1.7146,9.5104,-7.4515,6.3058
model_492_blend_risk25_score,5,190,950,4941,256,5.181,26.947,67.263,5.789,0.2794,0.3946,7.4316,-6.6931,5.2434
model_492_blend_risk25_score,10,190,1900,4941,475,9.613,25.0,67.474,7.526,0.2677,0.4451,7.4525,-6.7213,5.1883
model_492_blend_risk25_score,20,190,3800,4941,943,19.085,24.816,67.421,7.763,0.2771,0.8318,7.7171,-6.741,5.3522
model_492_blend_risk25_score,50,190,9500,4941,2421,48.998,25.484,65.463,9.053,0.3928,1.2797,8.3335,-6.8062,5.8527
model_492_blend_risk50_score,5,190,950,4941,228,4.614,24.0,61.474,14.526,0.2621,0.6089,6.5103,-5.7495,4.7
model_492_blend_risk50_score,10,190,1900,4941,446,9.027,23.474,62.947,13.579,0.2574,0.3963,6.5195,-5.9318,4.9137
model_492_blend_risk50_score,20,190,3800,4941,918,18.579,24.158,63.079,12.763,0.2724,0.4867,6.5988,-6.0261,4.8269
model_492_blend_risk50_score,50,190,9500,4941,2397,48.512,25.232,63.768,11.0,0.3897,1.1887,7.8555,-6.4911,5.6867
model_492_blend_risk75_score,5,190,950,4941,210,4.25,22.105,58.737,19.158,0.2497,0.4173,5.8565,-5.3097,4.6662
model_492_blend_risk75_score,10,190,1900,4941,434,8.784,22.842,59.316,17.842,0.2533,0.3776,5.9664,-5.4837,4.6048
model_492_blend_risk75_score,20,190,3800,4941,896,18.134,23.579,60.421,16.0,0.2681,0.6131,6.3171,-5.5931,4.825
