scan_date,symbol,entry_assumption,source_tags,kumo_rank_by_score,kumo_score,label_entry_date,label_entry_time,label_entry_price,label_outcome_20d,label_ret_20d_close_pct,label_mfe_20d_pct,label_mae_20d_pct,label_t4_s2_20d_outcome,label_trigger_reason
2026-04-01,SOXL,next_open,kumo_scanner;kumo_top_n,70.0,6.0,2026-04-02,2026-04-02 09:30:00,46.06,runner_candidate,176.5957,182.4957,-0.0217,target_before_stop,first regular bar open
2026-04-01,SOXL,first_hour_confirm,kumo_scanner;kumo_top_n,70.0,6.0,2026-04-02,2026-04-02 10:25:00,49.4501,runner_candidate,157.6335,163.1289,-0.1822,target_before_stop,first-hour close above first-hour open
2025-12-30,AGQ,next_open,kumo_scanner;kumo_top_n,76.0,7.0,2025-12-31,2025-12-31 09:30:00,162.03,runner_candidate,145.9421,166.2902,-7.3567,ambiguous_same_day,first regular bar open
2026-04-08,SOXL,next_open,kumo_scanner;kumo_top_n,35.0,7.0,2026-04-09,2026-04-09 09:30:00,68.12,runner_candidate,142.6974,143.6876,0.0,target_before_stop,first regular bar open
2026-04-08,SOXL,prior_session_high_breakout,kumo_scanner;kumo_top_n,35.0,7.0,2026-04-09,2026-04-09 09:30:00,68.12,runner_candidate,142.6974,143.6876,0.0,target_before_stop,crossed prior-session high
2025-12-30,AGQ,first_hour_confirm,kumo_scanner;kumo_top_n,76.0,7.0,2025-12-31,2025-12-31 10:25:00,164.2125,normal_winner,142.6734,162.751,-8.588,stop_before_target,first-hour close above first-hour open
2026-04-02,SOXL,next_open,kumo_scanner;kumo_top_n,76.0,6.0,2026-04-06,2026-04-06 09:30:00,53.75,runner_candidate,142.3256,144.4279,-3.014,ambiguous_same_day,first regular bar open
2026-04-02,SOXL,prior_session_high_breakout,kumo_scanner;kumo_top_n,76.0,6.0,2026-04-06,2026-04-06 09:30:00,53.75,runner_candidate,142.3256,144.4279,-3.014,ambiguous_same_day,crossed prior-session high
2026-04-02,SOXL,pullback_1pct_reclaim,kumo_scanner;kumo_top_n,76.0,6.0,2026-04-06,2026-04-06 10:10:00,53.7599,runner_candidate,142.281,144.3829,-3.0318,ambiguous_same_day,1pct pullback reclaimed session open
2026-04-02,SOXL,first_hour_confirm,kumo_scanner;kumo_top_n,76.0,6.0,2026-04-06,2026-04-06 10:25:00,53.9,runner_candidate,141.6512,143.7477,-3.2839,ambiguous_same_day,first-hour close above first-hour open
2025-12-26,HYMC,next_open,kumo_scanner;kumo_top_n,56.0,8.0,2025-12-29,2025-12-29 09:30:00,22.81,runner_candidate,140.5962,157.4744,-7.0583,ambiguous_same_day,first regular bar open
2026-04-08,SOXL,first_hour_confirm,kumo_scanner;kumo_top_n,35.0,7.0,2026-04-09,2026-04-09 10:25:00,68.945,runner_candidate,139.7933,140.7716,-1.0443,target_before_stop,first-hour close above first-hour open
2025-12-26,HYMC,pullback_1pct_reclaim,kumo_scanner;kumo_top_n,56.0,8.0,2025-12-29,2025-12-29 11:45:00,22.925,runner_candidate,139.3893,156.1828,-4.1221,ambiguous_same_day,1pct pullback reclaimed session open
2026-04-10,SOXL,next_open,kumo_scanner;kumo_top_n,3.0,8.0,2026-04-13,2026-04-13 09:30:00,75.59,runner_candidate,134.3564,135.3486,-0.4498,target_before_stop,first regular bar open
