scan_date,symbol,entry_assumption,source_tags,kumo_rank_by_score,kumo_score,label_entry_date,label_entry_time,label_entry_price,label_outcome_20d,label_ret_20d_close_pct,label_mfe_20d_pct,label_mae_20d_pct,label_t4_s2_20d_outcome,label_trigger_reason
2025-12-09,OCG,prior_session_high_breakout,kumo_scanner;kumo_top_n,100.0,7.0,2025-12-10,2025-12-10 12:40:00,13.0,bad_trade,-99.8369,48.3846,-99.8646,ambiguous_same_day,crossed prior-session high
2025-12-09,OCG,first_hour_confirm,kumo_scanner;kumo_top_n,100.0,7.0,2025-12-10,2025-12-10 10:25:00,7.69,bad_trade,-99.7243,150.8453,-99.7711,ambiguous_same_day,first-hour close above first-hour open
2025-12-09,OCG,pullback_1pct_reclaim,kumo_scanner;kumo_top_n,100.0,7.0,2025-12-10,2025-12-10 09:35:00,7.47,bad_trade,-99.7162,158.2329,-99.7644,ambiguous_same_day,1pct pullback reclaimed session open
2025-12-09,OCG,next_open,kumo_scanner;kumo_top_n,100.0,7.0,2025-12-10,2025-12-10 09:30:00,7.15,bad_trade,-99.7035,169.7902,-99.7538,target_before_stop,first regular bar open
2025-12-04,SMX,first_hour_confirm,kumo_scanner;kumo_top_n,86.0,7.0,2025-12-05,2025-12-05 10:25:00,322.0,bad_trade,-94.5839,52.1739,-95.3944,ambiguous_same_day,first-hour close above first-hour open
2025-12-04,SMX,pullback_1pct_reclaim,kumo_scanner;kumo_top_n,86.0,7.0,2025-12-05,2025-12-05 10:00:00,290.24,bad_trade,-93.9912,68.8258,-94.8904,ambiguous_same_day,1pct pullback reclaimed session open
2025-05-16,ORLY,first_hour_confirm,kumo_scanner;kumo_top_n,100.0,7.0,2025-05-19,2025-05-19 10:25:00,1392.515,bad_trade,-93.6719,0.4355,-93.7053,stop_before_target,first-hour close above first-hour open
2025-05-16,ORLY,prior_session_high_breakout,kumo_scanner;kumo_top_n,100.0,7.0,2025-05-19,2025-05-19 09:30:00,1382.44,bad_trade,-93.6258,1.1675,-93.6594,stop_before_target,crossed prior-session high
2025-05-16,ORLY,next_open,kumo_scanner;kumo_top_n,100.0,7.0,2025-05-19,2025-05-19 09:30:00,1379.0,bad_trade,-93.6099,1.4199,-93.6436,stop_before_target,first regular bar open
2025-05-23,ORLY,prior_session_high_breakout,kumo_scanner;kumo_top_n,72.0,7.0,2025-05-27,2025-05-27 09:30:00,1381.56,bad_trade,-93.545,0.9301,-93.6554,stop_before_target,crossed prior-session high
