scan_date,symbol,source_tags,kumo_rank_by_score,kumo_score,label_entry_gap_pct,label_outcome_20d,label_ret_20d_close_pct,label_mfe_20d_pct,label_mae_20d_pct,label_t4_s2_20d_outcome
2026-04-10,SOXL,kumo_scanner;kumo_top_n,3.0,8.0,-1.2266,runner_candidate,134.3564,135.3486,-0.4498,target_before_stop
2025-09-12,RGTI,kumo_scanner;kumo_top_n,15.0,8.0,0.6596,normal_winner,130.1442,157.5623,-2.1494,stop_before_target
2026-04-13,SOXL,kumo_scanner;kumo_top_n,4.0,8.0,3.4796,normal_winner,128.1614,129.7225,-4.2152,stop_before_target
2025-12-26,AGQ,kumo_scanner;kumo_top_n,4.0,8.0,-16.6809,normal_winner,125.1027,148.8397,-9.2881,stop_before_target
2026-04-15,SOXL,kumo_scanner;kumo_top_n,6.0,8.0,-0.5901,runner_candidate,116.0922,125.0205,-1.9998,target_before_stop
2026-04-09,SOXL,kumo_scanner;kumo_top_n,3.0,8.0,3.6337,runner_candidate,107.2145,123.4336,0.0,target_before_stop
2026-04-27,SOXL,kumo_scanner;kumo_top_n,5.0,8.0,-11.7289,runner_candidate,107.1356,110.1149,-4.377,ambiguous_same_day
2026-04-01,INTC,kumo_scanner;kumo_top_n,5.0,7.0,-4.281,runner_candidate,104.9501,107.7508,-0.0434,target_before_stop
2026-04-14,SOXL,kumo_scanner;kumo_top_n,6.0,8.0,-0.7387,normal_winner,102.8349,125.9507,-5.7879,stop_before_target
2026-04-16,SOXL,kumo_scanner;kumo_top_n,7.0,8.0,5.5078,normal_winner,102.8113,105.2577,-2.7201,stop_before_target
2026-04-10,INTC,kumo_scanner;kumo_top_n,2.0,8.0,-0.3526,runner_candidate,100.4342,109.9871,-0.1463,target_before_stop
2026-04-13,INTC,kumo_scanner;kumo_top_n,1.0,8.0,0.0153,normal_winner,97.8207,103.7293,-4.713,stop_before_target
2025-09-17,QBTS,kumo_scanner;kumo_top_n,15.0,8.0,2.3266,runner_candidate,96.3708,104.4163,-2.3174,ambiguous_same_day
2026-04-02,INTC,kumo_scanner;kumo_top_n,11.0,7.0,1.1732,runner_candidate,95.8923,97.4253,-1.9851,target_before_stop
2025-12-24,AGQ,kumo_scanner;kumo_top_n,14.0,8.0,8.0033,runner_candidate,94.2021,127.3771,-17.1121,target_before_stop
2026-04-08,INTC,kumo_scanner;kumo_top_n;george_scanner_ocr,1.0,8.0,-0.9666,runner_candidate,92.4658,94.3493,-0.0171,target_before_stop
2025-12-23,AGQ,kumo_scanner;kumo_top_n,12.0,8.0,0.8381,normal_winner,92.265,92.3814,-10.1622,stop_before_target
2025-09-11,IREN,kumo_scanner;kumo_top_n,19.0,8.0,1.2781,normal_winner,92.0974,95.9285,-2.8239,stop_before_target
2025-12-18,AGQ,kumo_scanner;kumo_top_n,6.0,8.0,2.4006,runner_candidate,90.7049,94.3989,-0.3178,target_before_stop
2025-08-19,BE,kumo_scanner;kumo_top_n,16.0,8.0,-3.0162,runner_candidate,89.9852,93.0878,-2.9665,ambiguous_same_day
2026-04-28,SOXL,kumo_scanner;kumo_top_n,4.0,8.0,4.5173,normal_winner,89.7874,111.45,-2.1436,stop_before_target
2026-04-30,MU,kumo_scanner;kumo_top_n,3.0,8.0,-0.4546,runner_candidate,88.4443,91.6839,-0.3068,target_before_stop
2026-04-14,INTC,kumo_scanner;kumo_top_n,3.0,8.0,0.0785,runner_candidate,88.3331,108.17,-1.4035,target_before_stop
2025-09-09,IREN,kumo_scanner;kumo_top_n,13.0,8.0,1.4215,runner_candidate,85.8214,106.6493,-0.6845,target_before_stop
2025-06-13,MP,kumo_scanner;kumo_top_n,9.0,8.0,3.0452,runner_candidate,85.0918,99.7868,-6.0057,target_before_stop
