scan_date,symbol,source_tags,kumo_rank_by_score,kumo_score,label_entry_gap_pct,label_outcome_20d,label_ret_20d_close_pct,label_mfe_20d_pct,label_mae_20d_pct,label_t4_s2_20d_outcome
2025-10-14,AQMS,kumo_scanner;kumo_top_n,10.0,8.0,-18.3104,bad_trade,-71.5924,0.0,-72.2631,stop_before_target
2025-10-14,TMQ,kumo_scanner;kumo_top_n,8.0,8.0,-7.5349,bad_trade,-60.7575,0.6036,-62.7767,stop_before_target
2025-10-13,UAMY,kumo_scanner;kumo_top_n,12.0,8.0,14.1025,bad_trade,-60.7179,1.0769,-68.0,stop_before_target
2026-01-28,AGQ,kumo_scanner;kumo_top_n,6.0,8.0,7.5797,bad_trade,-59.3979,0.4786,-73.3242,stop_before_target
2025-12-08,CETX,kumo_scanner;kumo_top_n,12.0,8.0,-10.0741,bad_trade,-57.0016,7.084,-65.486,ambiguous_same_day
2026-01-16,AGQ,kumo_scanner;kumo_top_n,8.0,8.0,12.8735,bad_trade,-56.0285,57.121,-58.2863,stop_before_target
2026-01-27,AGQ,kumo_scanner;kumo_top_n,5.0,8.0,1.9785,bad_trade,-54.1949,13.5836,-69.8449,ambiguous_same_day
2026-01-26,AGQ,kumo_scanner;kumo_top_n,4.0,8.0,-1.3207,bad_trade,-51.486,24.3232,-66.9937,ambiguous_same_day
2026-01-20,AGQ,kumo_scanner;kumo_top_n,14.0,8.0,0.2407,bad_trade,-50.7888,59.4199,-57.676,stop_before_target
2025-10-14,UAMY,kumo_scanner;kumo_top_n,12.0,8.0,-11.6768,bad_trade,-49.3734,4.7093,-60.9023,ambiguous_same_day
2026-01-14,AGQ,kumo_scanner;kumo_top_n,6.0,8.0,-8.9922,bad_trade,-47.6851,78.4888,-52.6134,target_before_stop
2025-10-06,SOPA,kumo_scanner;kumo_top_n,20.0,8.0,-19.7628,bad_trade,-47.1675,34.9754,-48.2759,ambiguous_same_day
2025-10-07,TMQ,kumo_scanner;kumo_top_n,19.0,8.0,10.8295,bad_trade,-44.6985,56.4796,-47.4705,stop_before_target
2026-01-15,AGQ,kumo_scanner;kumo_top_n,10.0,8.0,-8.5741,bad_trade,-44.2017,81.2899,-51.8697,stop_before_target
2025-10-10,UAMY,kumo_scanner;kumo_top_n,17.0,8.0,18.9474,bad_trade,-43.0905,34.1729,-57.5221,ambiguous_same_day
2025-10-15,QBTS,kumo_scanner;kumo_top_n,2.0,8.0,-0.4676,bad_trade,-40.4922,0.962,-41.5884,stop_before_target
2026-01-06,RDDT,kumo_scanner;kumo_top_n,19.0,8.0,-0.6701,bad_trade,-39.6706,4.5635,-41.9246,ambiguous_same_day
2025-10-15,LEU,kumo_scanner;kumo_top_n,17.0,8.0,3.9877,bad_trade,-39.4758,2.2577,-44.0507,stop_before_target
2025-10-16,QBTS,kumo_scanner;kumo_top_n,3.0,8.0,-5.7758,bad_trade,-39.2208,3.0649,-40.4156,stop_before_target
2026-01-13,AGQ,kumo_scanner;kumo_top_n,9.0,8.0,12.2339,bad_trade,-37.4971,67.0163,-55.6592,stop_before_target
2025-10-16,LEU,kumo_scanner;kumo_top_n,12.0,8.0,-4.032,bad_trade,-36.4152,3.2176,-37.8273,stop_before_target
2025-10-14,MP,kumo_scanner;kumo_top_n,2.0,8.0,-2.2144,bad_trade,-36.0149,0.2999,-47.782,stop_before_target
2025-10-14,LEU,kumo_scanner;kumo_top_n,17.0,8.0,7.8586,bad_trade,-35.8698,7.9651,-40.9279,ambiguous_same_day
2025-10-13,BBAI,kumo_scanner;kumo_top_n,5.0,8.0,0.681,bad_trade,-35.4014,5.8625,-40.3608,ambiguous_same_day
2025-10-15,ACHR,kumo_scanner;kumo_top_n,12.0,8.0,3.4161,bad_trade,-35.0713,7.3574,-45.9459,ambiguous_same_day
2025-10-15,MP,kumo_scanner;kumo_top_n,3.0,8.0,1.6925,bad_trade,-35.0049,0.0653,-45.0669,stop_before_target
2025-10-13,MP,kumo_scanner;kumo_top_n,2.0,8.0,2.8286,bad_trade,-34.4309,2.5161,-48.3587,stop_before_target
2025-10-16,APLD,kumo_scanner;kumo_top_n,7.0,8.0,-4.736,bad_trade,-34.1714,6.2,-34.6,stop_before_target
2025-10-17,APLD,kumo_scanner;kumo_top_n,10.0,8.0,4.3516,bad_trade,-33.8441,4.0302,-42.4853,stop_before_target
2025-08-01,HIMS,kumo_scanner;kumo_top_n,3.0,8.0,1.6814,bad_trade,-33.5005,2.7976,-35.8513,stop_before_target
2025-09-19,ALAB,kumo_scanner;kumo_top_n,6.0,8.0,-2.1717,bad_trade,-33.382,1.3861,-35.5915,stop_before_target
2026-01-05,RDDT,kumo_scanner;kumo_top_n,17.0,8.0,1.7046,bad_trade,-33.3588,6.1601,-34.8495,stop_before_target
