policy_id,policy_status,exit_reason,rows
fixed_t4_s2,closed,stop,14149
fixed_t4_s2,closed,target,7783
fixed_t4_s2,open_at_horizon,horizon_mtm,936
fixed_t4_s2,closed,ambiguous_stop_first,587
fixed_t8_s4,closed,stop,12874
fixed_t8_s4,closed,target,7031
fixed_t8_s4,open_at_horizon,horizon_mtm,3461
fixed_t8_s4,closed,ambiguous_stop_first,89
giveback35_after8,closed,hard_stop,9851
giveback35_after8,closed,giveback_stop,7919
giveback35_after8,open_at_horizon,horizon_mtm,5685
hold_40d_mtm,open_at_horizon,horizon_mtm,23455
partial_t4_trail8,closed,hard_stop,10071
partial_t4_trail8,closed,trail_stop,8007
partial_t4_trail8,open_at_horizon,horizon_mtm,5087
partial_t4_trail8,closed,ambiguous_stop_first,290
sector_etf_weak3d,missing_policy_data,missing_sector_etf,14343
sector_etf_weak3d,closed,hard_stop,3713
sector_etf_weak3d,closed,sector_etf_3d_weakness,3408
sector_etf_weak3d,open_at_horizon,horizon_mtm,1991
swinglow3_after8,closed,hard_stop,9922
swinglow3_after8,closed,swing_low_break,8294
swinglow3_after8,open_at_horizon,horizon_mtm,5239
time10_lt2_hard6,closed,time_stop_under_threshold,9634
time10_lt2_hard6,closed,hard_stop,7873
time10_lt2_hard6,open_at_horizon,horizon_mtm,5948
