source_flag,policy_id,rows,available_rows,closed_pct,open_at_horizon_pct,avg_realized_ret_pct,avg_open_mtm_ret_pct,avg_total_equity_ret_40d_pct,median_total_equity_ret_40d_pct,win_rate_pct,bad_total_le_minus6_pct,avg_giveback_from_peak_pct,avg_max_drawdown_ret_pct,runner_rows,runner_preserved_pct,runner_cut_early_pct,avg_exposure_sessions,objective_score
george_scanner_or_watchlist,hold_40d_mtm,302,302,0.0,100.0,0.0,5.6407,5.6407,1.8413,56.623,18.874,9.5102,-11.1078,99,100.0,0.0,40.0,6.7521
george_scanner_or_watchlist,sector_etf_weak3d,302,115,99.13,0.87,-0.1288,-0.0201,-0.1489,-4.8667,20.87,41.739,8.4184,-5.0382,34,26.471,58.824,11.5913,-1.8323
george_scanner_or_watchlist,time10_lt2_hard6,302,302,83.444,16.556,-3.8167,3.7856,-0.031,-6.0,22.517,57.285,8.8085,-6.07,99,40.404,53.535,13.8212,-2.6504
george_scanner_or_watchlist,swinglow3_after8,302,302,88.411,11.589,-0.7073,0.1113,-0.596,-6.0,33.444,60.927,7.838,-5.9057,99,14.141,82.828,14.3808,-3.518
george_scanner_or_watchlist,fixed_t4_s2,302,302,98.675,1.325,-0.2848,0.0076,-0.2771,-2.0,29.139,0.0,2.9838,-2.9472,99,0.0,100.0,3.2086,-3.6126
george_scanner_or_watchlist,partial_t4_trail8,302,302,95.364,4.636,-0.8625,0.1388,-0.7237,-4.0,38.079,0.0,5.2056,-3.9546,99,2.02,86.869,9.5232,-3.9076
george_scanner_or_watchlist,giveback35_after8,302,302,88.411,11.589,-1.3198,0.4946,-0.8252,-6.0,34.106,60.596,7.0693,-5.854,99,10.101,85.859,13.7483,-4.1292
george_scanner_or_watchlist,fixed_t8_s4,302,302,95.364,4.636,-1.1126,0.0602,-1.0524,-4.0,25.828,0.0,5.2545,-4.5936,99,3.03,95.96,8.1358,-4.6275
kumo_scanner,hold_40d_mtm,23302,23302,0.0,100.0,0.0,4.696,4.696,1.8628,58.969,20.045,10.4107,-8.6638,6152,100.0,0.0,40.0,6.0029
kumo_scanner,time10_lt2_hard6,23302,23302,74.59,25.41,-2.2407,4.184,1.9433,-0.923,40.885,33.379,7.3859,-4.499,6152,50.033,45.871,17.2288,0.4237
kumo_scanner,giveback35_after8,23302,23302,75.672,24.328,0.3504,0.9303,1.2807,0.2726,50.863,41.902,5.9598,-4.7874,6152,22.302,72.854,19.9965,-0.7192
kumo_scanner,swinglow3_after8,23302,23302,77.581,22.419,0.6245,0.4473,1.0718,-0.2316,48.867,42.202,6.6179,-4.8729,6152,23.635,69.782,20.2848,-0.7202
kumo_scanner,sector_etf_weak3d,23302,9112,78.15,21.85,-1.2441,1.7214,0.4773,-2.9953,36.6,40.748,7.2675,-4.9161,2047,37.763,50.464,20.4808,-1.1101
kumo_scanner,partial_t4_trail8,23302,23302,78.212,21.788,-0.1018,0.6802,0.5783,0.1876,51.893,0.0,4.4898,-3.4208,6152,9.85,72.188,17.7211,-1.6996
kumo_scanner,fixed_t8_s4,23302,23302,85.182,14.818,0.1935,0.282,0.4755,-4.0,41.061,0.0,4.4738,-3.9328,6152,4.681,91.515,14.5657,-2.4232
kumo_scanner,fixed_t4_s2,23302,23302,95.996,4.004,0.073,0.0204,0.0934,-2.0,35.718,0.0,2.764,-2.5479,6152,0.0,100.0,6.4609,-3.0849
kumo_top100,hold_40d_mtm,23226,23226,0.0,100.0,0.0,4.7097,4.7097,1.8761,59.007,20.042,10.4134,-8.6537,6137,100.0,0.0,40.0,6.0174
kumo_top100,time10_lt2_hard6,23226,23226,74.55,25.45,-2.2354,4.1934,1.958,-0.9148,40.95,33.299,7.3843,-4.4954,6137,50.057,45.853,17.2423,0.4415
kumo_top100,swinglow3_after8,23226,23226,77.56,22.44,0.6353,0.4485,1.0838,-0.2157,48.937,42.13,6.6147,-4.8701,6137,23.66,69.741,20.299,-0.7025
kumo_top100,giveback35_after8,23226,23226,75.644,24.356,0.3594,0.933,1.2924,0.299,50.939,41.828,5.9559,-4.7842,6137,22.324,72.821,20.0106,-0.7027
kumo_top100,sector_etf_weak3d,23226,9060,78.035,21.965,-1.2393,1.7315,0.4923,-2.9781,36.711,40.717,7.2652,-4.9139,2037,37.801,50.466,20.5307,-1.0925
kumo_top100,partial_t4_trail8,23226,23226,78.158,21.842,-0.0985,0.6821,0.5836,0.1925,51.933,0.0,4.4883,-3.4199,6137,9.875,72.169,17.7458,-1.692
kumo_top100,fixed_t8_s4,23226,23226,85.155,14.845,0.2001,0.2827,0.4828,-4.0,41.131,0.0,4.4705,-3.9308,6137,4.693,91.494,14.5832,-2.4126
kumo_top100,fixed_t4_s2,23226,23226,95.987,4.013,0.0746,0.0204,0.095,-2.0,35.744,0.0,2.764,-2.5474,6137,0.0,100.0,6.4712,-3.0827
