target,fold,train_start,train_end,valid_start,valid_end,train_rows,valid_rows,train_positive_pct,coef_nonzero
trade_worthy,1,2025-05-05,2025-06-30,2025-07-01,2025-08-25,3869,3869,45.697,30
runner,1,2025-05-05,2025-06-30,2025-07-01,2025-08-25,3869,3869,22.202,30
trade_worthy,2,2025-05-05,2025-08-25,2025-08-26,2025-10-20,7738,3870,41.096,30
runner,2,2025-05-05,2025-08-25,2025-08-26,2025-10-20,7738,3870,21.078,30
trade_worthy,3,2025-05-05,2025-10-20,2025-10-21,2025-12-15,11608,3851,40.377,30
runner,3,2025-05-05,2025-10-20,2025-10-21,2025-12-15,11608,3851,23.389,30
trade_worthy,4,2025-05-05,2025-12-15,2025-12-16,2026-02-11,15459,3898,41.536,31
runner,4,2025-05-05,2025-12-15,2025-12-16,2026-02-11,15459,3898,24.594,31
trade_worthy,5,2025-05-05,2026-02-11,2026-02-12,2026-04-09,19357,4098,43.829,32
runner,5,2025-05-05,2026-02-11,2026-02-12,2026-04-09,19357,4098,25.758,32
