month,score,selected_rows,trade_worthy_precision_pct,runner_precision_pct,avg_ret20_top10_pct,bad_trade_pct
2025-07,baseline_kumo_rank_score,220,24.091,16.818,0.184,36.364
2025-08,baseline_kumo_rank_score,210,32.381,20.0,2.0877,35.714
2025-09,baseline_kumo_rank_score,210,52.857,39.524,3.7636,25.714
2025-10,baseline_kumo_rank_score,230,20.435,16.087,-5.1912,57.826
2025-11,baseline_kumo_rank_score,190,42.632,14.211,-0.3209,47.895
2025-12,baseline_kumo_rank_score,220,58.636,44.091,9.1152,29.545
2026-01,baseline_kumo_rank_score,200,54.0,28.0,0.1369,32.5
2026-02,baseline_kumo_rank_score,190,26.842,20.526,-3.4281,72.632
2026-03,baseline_kumo_rank_score,220,39.091,30.0,1.5059,56.364
2026-04,baseline_kumo_rank_score,60,73.333,51.667,18.2807,20.0
2025-07,baseline_rule_score,220,25.455,17.273,-0.1345,39.091
2025-08,baseline_rule_score,210,34.762,18.095,1.7284,38.095
2025-09,baseline_rule_score,210,49.524,35.714,4.6137,22.857
2025-10,baseline_rule_score,230,26.522,14.783,-1.8653,51.304
2025-11,baseline_rule_score,190,44.211,13.684,0.7787,43.158
2025-12,baseline_rule_score,220,62.727,42.727,6.3342,22.727
2026-01,baseline_rule_score,200,66.0,25.5,4.8368,20.0
2026-02,baseline_rule_score,190,28.421,18.421,-4.044,71.053
2026-03,baseline_rule_score,220,36.364,24.545,0.9262,56.818
2026-04,baseline_rule_score,60,58.333,41.667,10.8838,31.667
2025-07,model_combined_score,220,42.727,48.182,0.7235,47.727
2025-08,model_combined_score,210,60.952,60.476,15.1166,31.905
2025-09,model_combined_score,210,70.476,72.857,16.8275,27.143
2025-10,model_combined_score,230,26.957,40.0,-13.6708,69.13
2025-11,model_combined_score,190,60.526,54.737,4.2797,35.789
2025-12,model_combined_score,220,72.273,71.818,16.559,23.182
2026-01,model_combined_score,200,48.0,60.5,-1.7925,48.0
2026-02,model_combined_score,190,34.737,33.158,-2.69,61.053
2026-03,model_combined_score,220,63.182,59.545,9.7898,31.818
2026-04,model_combined_score,60,76.667,60.0,28.4031,21.667
