target,score,k,dates,selected_rows,positive_rows,hit_rows,recall_pct,precision_pct,ndcg_mean,avg_ret20_topk_pct,avg_mfe20_topk_pct,bad_trade_pct_topk
trade_worthy,baseline_kumo_rank_score,5,195,975,8306,393,4.732,40.308,0.4104,1.9696,10.6034,42.359
trade_worthy,baseline_kumo_rank_score,10,195,1950,8306,778,9.367,39.897,0.4046,1.4481,9.9809,42.923
trade_worthy,baseline_kumo_rank_score,20,195,3900,8306,1669,20.094,42.795,0.4253,2.1843,10.2228,41.205
trade_worthy,baseline_kumo_rank_score,50,195,9750,8306,4198,50.542,43.056,0.4835,2.3418,9.8814,40.082
trade_worthy,baseline_kumo_score,5,195,975,8306,411,4.948,42.154,0.421,1.5509,9.1607,40.205
trade_worthy,baseline_kumo_score,10,195,1950,8306,821,9.884,42.103,0.4214,2.0328,9.8903,41.744
trade_worthy,baseline_kumo_score,20,195,3900,8306,1682,20.25,43.128,0.4305,2.3465,9.8189,40.692
trade_worthy,baseline_kumo_score,50,195,9750,8306,4045,48.7,41.487,0.4721,2.1098,9.2442,39.169
trade_worthy,baseline_rule_score,5,195,975,8371,407,4.862,41.744,0.4191,1.7288,8.5392,40.0
trade_worthy,baseline_rule_score,10,195,1950,8371,817,9.76,41.897,0.4196,1.7797,8.6943,40.154
trade_worthy,baseline_rule_score,20,195,3900,8371,1600,19.114,41.026,0.4144,1.7755,8.4771,40.692
trade_worthy,baseline_rule_score,50,195,9750,8371,3999,47.772,41.015,0.4635,1.7941,8.2195,39.005
trade_worthy,model_trade_worthy_score,5,195,975,8371,518,6.188,53.128,0.5254,5.4124,21.3026,41.846
trade_worthy,model_trade_worthy_score,10,195,1950,8371,1020,12.185,52.308,0.5223,4.7793,18.7418,41.744
trade_worthy,model_trade_worthy_score,20,195,3900,8371,1995,23.832,51.154,0.5176,4.3231,16.4568,40.897
trade_worthy,model_trade_worthy_score,50,195,9750,8371,4701,56.158,48.215,0.5598,3.0355,12.403,40.533
trade_worthy,model_runner_score,5,195,975,8371,544,6.499,55.795,0.5495,7.1685,24.9545,40.718
trade_worthy,model_runner_score,10,195,1950,8371,1100,13.141,56.41,0.5571,6.4832,21.9587,39.179
trade_worthy,model_runner_score,20,195,3900,8371,2093,25.003,53.667,0.5435,4.9834,17.8375,40.026
trade_worthy,model_runner_score,50,195,9750,8371,4795,57.281,49.179,0.576,3.2688,12.7537,40.277
trade_worthy,model_combined_score,5,195,975,8371,545,6.511,55.897,0.5574,6.9265,24.4875,40.41
trade_worthy,model_combined_score,10,195,1950,8371,1053,12.579,54.0,0.5449,5.727,21.0453,41.128
trade_worthy,model_combined_score,20,195,3900,8371,2061,24.621,52.846,0.5385,4.6911,17.6772,40.59
trade_worthy,model_combined_score,50,195,9750,8371,4751,56.755,48.728,0.5719,3.1386,12.69,40.523
runner,baseline_kumo_rank_score,5,195,975,5293,264,4.988,27.077,0.2741,1.9696,10.6034,42.359
runner,baseline_kumo_rank_score,10,195,1950,5293,515,9.73,26.41,0.2681,1.4481,9.9809,42.923
runner,baseline_kumo_rank_score,20,195,3900,5293,1094,20.669,28.051,0.2871,2.1843,10.2228,41.205
runner,baseline_kumo_rank_score,50,195,9750,5293,2691,50.841,27.6,0.4035,2.3418,9.8814,40.082
runner,baseline_kumo_score,5,195,975,5293,257,4.855,26.359,0.248,1.5509,9.1607,40.205
runner,baseline_kumo_score,10,195,1950,5293,523,9.881,26.821,0.2572,2.0328,9.8903,41.744
runner,baseline_kumo_score,20,195,3900,5293,1031,19.479,26.436,0.2643,2.3465,9.8189,40.692
runner,baseline_kumo_score,50,195,9750,5293,2492,47.081,25.559,0.3668,2.1098,9.2442,39.169
runner,baseline_rule_score,5,195,975,5352,224,4.185,22.974,0.2285,1.7288,8.5392,40.0
runner,baseline_rule_score,10,195,1950,5352,470,8.782,24.103,0.2367,1.7797,8.6943,40.154
runner,baseline_rule_score,20,195,3900,5352,937,17.507,24.026,0.244,1.7755,8.4771,40.692
runner,baseline_rule_score,50,195,9750,5352,2303,43.031,23.621,0.3391,1.7941,8.2195,39.005
runner,model_trade_worthy_score,5,195,975,5352,546,10.202,56.0,0.5622,5.4124,21.3026,41.846
runner,model_trade_worthy_score,10,195,1950,5352,1016,18.984,52.103,0.5349,4.7793,18.7418,41.744
runner,model_trade_worthy_score,20,195,3900,5352,1835,34.286,47.051,0.5107,4.3231,16.4568,40.897
runner,model_trade_worthy_score,50,195,9750,5352,3539,66.125,36.297,0.5973,3.0355,12.403,40.533
runner,model_runner_score,5,195,975,5352,602,11.248,61.744,0.6171,7.1685,24.9545,40.718
runner,model_runner_score,10,195,1950,5352,1133,21.17,58.103,0.5917,6.4832,21.9587,39.179
runner,model_runner_score,20,195,3900,5352,1941,36.267,49.769,0.5489,4.9834,17.8375,40.026
runner,model_runner_score,50,195,9750,5352,3650,68.199,37.436,0.6327,3.2688,12.7537,40.277
runner,model_combined_score,5,195,975,5352,602,11.248,61.744,0.6283,6.9265,24.4875,40.41
runner,model_combined_score,10,195,1950,5352,1091,20.385,55.949,0.5849,5.727,21.0453,41.128
runner,model_combined_score,20,195,3900,5352,1932,36.099,49.538,0.5504,4.6911,17.6772,40.59
runner,model_combined_score,50,195,9750,5352,3644,68.087,37.374,0.6324,3.1386,12.69,40.523
