rank,variant_id,scanner_setting,base_module,source_sweep_id,ret_pct,dd_pct,sharpe,orders,realized_net,unrealized,closed_trades,closed_win_rate,delta_ret_vs_off,delta_dd_vs_off,delta_orders_vs_off,delta_realized_vs_off,delta_unrealized_vs_off,result_path
1,giveback_no_bull_scanner_top20,top20,strategies.realized_giveback_no_bull,scanner_ranker_real_strategy_fy2025_453_retry_w3,12.89,17.3,0.707,304,23404.53,"$-10,230.71",142,91.54929577464789,2.303,-0.100,5,-1221.400,3532.650,sweeps/runs/scanner_ranker_real_strategy_fy2025_453_retry_w3/giveback_no_bull_scanner_top20/90f501618cf2/fy2025_full/backtests/2026-06-10_10-03-30/1621276844.json
2,target04_fast_take_scanner_top20,top20,strategies.realized_target_04_fast_take,scanner_ranker_real_strategy_fy2025_453_retry_w3,12.872,17.1,0.702,262,23466.43,"$-10,354.65",120,98.33333333333333,3.142,-0.600,-1,-498.100,3640.090,sweeps/runs/scanner_ranker_real_strategy_fy2025_453_retry_w3/target04_fast_take_scanner_top20/90f501618cf2/fy2025_full/backtests/2026-06-10_10-41-15/1885656852.json
3,target08_let_run_scanner_top20,top20,strategies.realized_target_08_let_run,scanner_ranker_real_strategy_fy2025_453,12.352,17.0,0.682,229,22095.78,"$-9,536.02",104,90.38461538461539,2.006,-0.400,-26,-1827.720,3809.960,sweeps/runs/scanner_ranker_real_strategy_fy2025_453/target08_let_run_scanner_top20/90f501618cf2/fy2025_full/backtests/2026-06-10_09-19-34/1147696569.json
4,giveback_no_bull_scanner_top25,top25,strategies.realized_giveback_no_bull,scanner_ranker_real_strategy_fy2025_453_retry_w3,11.04,17.4,0.58,305,25299.86,"$-13,977.48",141,95.0354609929078,0.453,0.000,6,673.930,-214.120,sweeps/runs/scanner_ranker_real_strategy_fy2025_453_retry_w3/giveback_no_bull_scanner_top25/4d7cd7fc2ce4/fy2025_full/backtests/2026-06-10_10-40-02/1458824056.json
5,giveback_no_bull_scanner_off,off,strategies.realized_giveback_no_bull,scanner_ranker_real_strategy_fy2025_453_retry_w3,10.587,17.4,0.557,299,24625.93,"$-13,763.36",138,94.92753623188406,0.000,0.000,0,0.000,0.000,sweeps/runs/scanner_ranker_real_strategy_fy2025_453_retry_w3/giveback_no_bull_scanner_off/36f10f9c1685/fy2025_full/backtests/2026-06-10_10-02-56/1256752315.json
6,target08_let_run_scanner_off,off,strategies.realized_target_08_let_run,scanner_ranker_real_strategy_fy2025_453_retry_w3,10.346,17.4,0.538,255,23923.50,"$-13,345.98",116,93.10344827586206,0.000,0.000,0,0.000,0.000,sweeps/runs/scanner_ranker_real_strategy_fy2025_453_retry_w3/target08_let_run_scanner_off/36f10f9c1685/fy2025_full/backtests/2026-06-10_11-19-16/1166679772.json
7,target08_let_run_scanner_top25,top25,strategies.realized_target_08_let_run,scanner_ranker_real_strategy_fy2025_453,10.116,17.3,0.528,251,23801.84,"$-13,458.06",114,92.98245614035088,-0.230,-0.100,-4,-121.660,-112.080,sweeps/runs/scanner_ranker_real_strategy_fy2025_453/target08_let_run_scanner_top25/4d7cd7fc2ce4/fy2025_full/backtests/2026-06-10_09-20-31/1650566626.json
8,target04_fast_take_scanner_top25,top25,strategies.realized_target_04_fast_take,scanner_ranker_real_strategy_fy2025_453_retry_w3,10.08,17.3,0.526,275,24261.74,"$-13,929.90",126,97.61904761904762,0.350,-0.400,12,297.210,64.840,sweeps/runs/scanner_ranker_real_strategy_fy2025_453_retry_w3/target04_fast_take_scanner_top25/4d7cd7fc2ce4/fy2025_full/backtests/2026-06-10_11-18-35/1621425397.json
9,target04_fast_take_scanner_off,off,strategies.realized_target_04_fast_take,scanner_ranker_real_strategy_fy2025_453_retry_w3,9.73,17.7,0.503,263,23964.53,"$-13,994.74",120,96.66666666666667,0.000,0.000,0,0.000,0.000,sweeps/runs/scanner_ranker_real_strategy_fy2025_453_retry_w3/target04_fast_take_scanner_off/36f10f9c1685/fy2025_full/backtests/2026-06-10_10-40-39/1560931763.json
10,giveback_no_bull_scanner_top15,top15,strategies.realized_giveback_no_bull,scanner_ranker_real_strategy_fy2025_453_retry_w3,8.597,14.9,0.523,252,19398.03,"$-10,564.69",118,90.67796610169492,-1.990,-2.500,-47,-5227.900,3198.670,sweeps/runs/scanner_ranker_real_strategy_fy2025_453_retry_w3/giveback_no_bull_scanner_top15/82d5b94509a6/fy2025_full/backtests/2026-06-10_10-04-05/1468732179.json
11,target04_fast_take_scanner_top15,top15,strategies.realized_target_04_fast_take,scanner_ranker_real_strategy_fy2025_453,8.009,12.0,0.556,185,17071.78,"$-8,894.86",84,96.42857142857143,-1.721,-5.700,-78,-6892.750,5099.880,sweeps/runs/scanner_ranker_real_strategy_fy2025_453/target04_fast_take_scanner_top15/82d5b94509a6/fy2025_full/backtests/2026-06-10_09-14-02/1589070915.json
12,target08_let_run_scanner_top15,top15,strategies.realized_target_08_let_run,scanner_ranker_real_strategy_fy2025_453_retry_w3,7.589,15.6,0.458,179,14707.72,"$-6,956.95",81,91.35802469135803,-2.757,-1.800,-76,-9215.780,6389.030,sweeps/runs/scanner_ranker_real_strategy_fy2025_453_retry_w3/target08_let_run_scanner_top15/82d5b94509a6/fy2025_full/backtests/2026-06-10_11-19-57/1345630555.json
