example_type,scan_date,symbol,trade_bucket,source_bucket,reason_codes,kumo_rank_by_score,kumo_score,george_rank,george_watchlist_rank,best_entry_assumption,best_entry_ret_20d_close_pct,best_entry_mfe_20d_pct,best_entry_mae_20d_pct,best_deployable_exit_policy_id,best_deployable_total_equity_ret_40d_pct,model_combined_score
kumo_addition_optimal,2025-05-05,CVNA,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,90.0,7.0,,,next_open,33.3804,33.702,-0.5922,time10_lt2_hard6,34.6627,
kumo_addition_optimal,2025-05-05,GE,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,5.0,8.0,,,next_open,20.799,21.5901,-0.0485,time10_lt2_hard6,18.6778,
kumo_addition_optimal,2025-05-05,INTU,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,76.0,7.0,,,next_open,22.2478,22.7962,-0.4093,giveback35_after8,23.693,
kumo_addition_optimal,2025-05-06,CVNA,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,78.0,7.0,,,next_open,34.6055,35.2559,-0.3855,time10_lt2_hard6,35.6531,
kumo_addition_optimal,2025-05-06,DAVE,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,57.0,8.0,,,next_open,95.644,108.1971,0.0,time10_lt2_hard6,166.2667,
kumo_addition_optimal,2025-05-06,RBLX,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,84.0,7.0,,,next_open,28.2134,29.0722,-1.619,giveback35_after8,45.7131,
kumo_addition_optimal,2025-05-07,DAVE,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,66.0,8.0,,,prior_session_high_breakout,55.2858,63.5746,-1.2546,time10_lt2_hard6,107.7209,
kumo_addition_optimal,2025-05-07,GE,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,10.0,8.0,,,prior_session_high_breakout,19.3981,19.9353,0.0,time10_lt2_hard6,17.8436,
kumo_addition_optimal,2025-05-07,INTU,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,79.0,7.0,,,prior_session_high_breakout,19.0465,20.1886,-0.2005,giveback35_after8,21.7674,
kumo_addition_optimal,2025-05-08,DAVE,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;runner_candidate;normal_winner,18.0,8.0,,,next_open,45.4074,45.8143,-2.0805,time10_lt2_hard6,72.0014,
