base_module,symbol,entry_date,relation,off_entries,top20_entries,off_closed_pnl,top20_closed_pnl,delta_closed_pnl,off_open_lots,top20_open_lots,off_open_unrealized_est,top20_open_unrealized_est,delta_open_unrealized_est,off_avg_rank,top20_avg_rank,top20_avg_mfe_pct,top20_avg_mae_pct
strategies.realized_giveback_no_bull,AAPL,2025-01-03,shared,1,1,167.32,172.90,5.58,0,0,0.00,0.00,0.00,4.000,4.000,0.061,-0.302
strategies.realized_giveback_no_bull,AAPL,2025-09-24,added_by_top20,0,1,0.00,110.78,110.78,0,0,0.00,0.00,0.00,,4.000,0.046,-0.333
strategies.realized_giveback_no_bull,AAPL,2025-09-25,removed_by_top20,1,0,130.29,0.00,-130.29,0,0,0.00,0.00,0.00,4.000,,,
strategies.realized_giveback_no_bull,AAPL,2025-10-22,added_by_top20,0,1,0.00,162.81,162.81,0,0,0.00,0.00,0.00,,5.000,0.053,-0.350
strategies.realized_giveback_no_bull,AAPL,2025-10-23,removed_by_top20,1,0,186.59,0.00,-186.59,0,0,0.00,0.00,0.00,5.000,,,
strategies.realized_giveback_no_bull,AAPL,2025-10-30,added_by_top20,0,1,0.00,264.11,264.11,0,0,0.00,0.00,0.00,,5.000,0.062,-0.374
strategies.realized_giveback_no_bull,AAPL,2025-11-03,removed_by_top20,1,0,283.42,0.00,-283.42,0,0,0.00,0.00,0.00,7.000,,,
strategies.realized_giveback_no_bull,AAPL,2025-12-02,added_by_top20,0,1,0.00,0.00,0.00,0,1,0.00,-529.54,-529.54,,10.000,,
strategies.realized_giveback_no_bull,AAPL,2025-12-03,removed_by_top20,1,0,0.00,0.00,0.00,1,0,-632.82,0.00,632.82,9.000,,,
strategies.realized_giveback_no_bull,ABBV,2025-01-03,shared,1,1,82.89,82.89,0.00,0,0,0.00,0.00,0.00,131.000,131.000,0.059,-0.060
strategies.realized_giveback_no_bull,ABBV,2025-02-03,shared,1,1,122.05,122.05,0.00,0,0,0.00,0.00,0.00,106.000,106.000,0.048,-0.001
strategies.realized_giveback_no_bull,ABBV,2025-02-10,shared,1,1,236.32,236.32,0.00,0,0,0.00,0.00,0.00,93.000,93.000,0.070,-0.010
strategies.realized_giveback_no_bull,ABBV,2025-02-24,shared,1,1,75.12,75.12,0.00,0,0,0.00,0.00,0.00,116.000,116.000,0.060,-0.007
strategies.realized_giveback_no_bull,ABBV,2025-03-05,shared,1,1,42.57,42.57,0.00,0,0,0.00,0.00,0.00,115.000,115.000,0.043,-0.006
strategies.realized_giveback_no_bull,ABBV,2025-03-12,shared,1,1,132.95,132.95,0.00,0,0,0.00,0.00,0.00,100.000,100.000,0.048,-0.223
strategies.realized_giveback_no_bull,ABBV,2025-09-15,shared,1,1,319.29,319.29,0.00,0,0,0.00,0.00,0.00,150.000,150.000,0.076,-0.014
strategies.realized_giveback_no_bull,ABBV,2025-10-01,shared,1,1,44.81,44.81,0.00,0,0,0.00,0.00,0.00,134.000,134.000,0.043,-0.001
strategies.realized_giveback_no_bull,ABBV,2025-10-03,shared,1,1,0.00,0.00,0.00,1,1,-625.72,-524.75,100.97,113.000,113.000,,
strategies.realized_giveback_no_bull,AMD,2025-01-03,shared,1,1,243.60,261.57,17.97,0,0,0.00,0.00,0.00,12.000,12.000,0.068,-0.002
strategies.realized_giveback_no_bull,AMD,2025-01-07,shared,1,1,179.90,325.34,145.44,0,0,0.00,0.00,0.00,12.000,12.000,0.084,-0.411
strategies.realized_giveback_no_bull,AMD,2025-06-25,shared,1,1,133.30,96.08,-37.22,0,0,0.00,0.00,0.00,11.000,11.000,0.050,-0.005
strategies.realized_giveback_no_bull,AMD,2025-06-27,removed_by_top20,1,0,312.98,0.00,-312.98,0,0,0.00,0.00,0.00,11.000,,,
strategies.realized_giveback_no_bull,AMD,2025-06-30,added_by_top20,0,1,0.00,363.82,363.82,0,0,0.00,0.00,0.00,,11.000,0.107,-0.060
strategies.realized_giveback_no_bull,AMD,2025-07-16,shared,1,1,104.85,55.07,-49.78,0,0,0.00,0.00,0.00,7.000,7.000,0.033,-0.014
strategies.realized_giveback_no_bull,AMD,2025-07-17,removed_by_top20,1,0,291.49,0.00,-291.49,0,0,0.00,0.00,0.00,8.000,,,
strategies.realized_giveback_no_bull,AMD,2025-07-21,added_by_top20,0,1,0.00,404.42,404.42,0,0,0.00,0.00,0.00,,8.000,0.117,-0.058
strategies.realized_giveback_no_bull,AMD,2025-07-30,shared,1,1,151.34,71.59,-79.75,0,0,0.00,0.00,0.00,6.000,6.000,0.040,0.000
strategies.realized_giveback_no_bull,AMD,2025-08-14,removed_by_top20,1,0,763.51,0.00,-763.51,0,0,0.00,0.00,0.00,5.000,,,
strategies.realized_giveback_no_bull,AMD,2025-08-15,added_by_top20,0,1,0.00,-4.10,-4.10,0,0,0.00,0.00,0.00,,4.000,0.000,-0.001
strategies.realized_giveback_no_bull,AMD,2025-08-18,added_by_top20,0,1,0.00,874.65,874.65,0,0,0.00,0.00,0.00,,4.000,0.276,-0.160
strategies.realized_giveback_no_bull,AMD,2025-10-08,shared,1,1,158.00,158.00,0.00,0,0,0.00,0.00,0.00,8.000,8.000,0.053,-0.008
strategies.realized_giveback_no_bull,AMD,2025-10-09,shared,1,1,270.14,270.14,0.00,0,0,0.00,0.00,0.00,5.000,5.000,0.065,-0.093
strategies.realized_giveback_no_bull,AMD,2025-10-27,shared,1,1,98.99,98.99,0.00,0,0,0.00,0.00,0.00,4.000,4.000,0.040,-0.018
strategies.realized_giveback_no_bull,AMD,2025-10-28,shared,1,1,0.00,0.00,0.00,1,1,-649.32,-544.54,104.78,4.000,4.000,,
strategies.realized_giveback_no_bull,AMZN,2025-01-03,shared,1,1,258.93,58.08,-200.85,0,0,0.00,0.00,0.00,8.000,8.000,0.057,-0.033
strategies.realized_giveback_no_bull,AMZN,2025-01-28,added_by_top20,0,1,0.00,340.57,340.57,0,0,0.00,0.00,0.00,,8.000,0.098,-0.299
strategies.realized_giveback_no_bull,AMZN,2025-01-29,removed_by_top20,1,0,293.05,0.00,-293.05,0,0,0.00,0.00,0.00,8.000,,,
strategies.realized_giveback_no_bull,AMZN,2025-11-04,shared,1,1,0.00,0.00,0.00,1,1,-664.04,-525.95,138.09,6.000,6.000,,
strategies.realized_giveback_no_bull,AVGO,2025-01-03,shared,1,1,153.67,153.67,0.00,0,0,0.00,0.00,0.00,6.000,6.000,0.059,-0.059
strategies.realized_giveback_no_bull,AVGO,2025-01-22,shared,1,1,232.15,232.15,0.00,0,0,0.00,0.00,0.00,9.000,9.000,0.062,-0.430
strategies.realized_giveback_no_bull,AVGO,2025-06-04,shared,1,1,102.65,102.65,0.00,0,0,0.00,0.00,0.00,16.000,16.000,0.043,-0.068
strategies.realized_giveback_no_bull,AVGO,2025-06-25,shared,1,1,94.42,94.42,0.00,0,0,0.00,0.00,0.00,13.000,13.000,0.040,-0.093
strategies.realized_giveback_no_bull,AVGO,2025-06-30,shared,1,1,166.78,155.66,-11.12,0,0,0.00,0.00,0.00,13.000,13.000,0.058,-0.115
strategies.realized_giveback_no_bull,AVGO,2025-07-18,shared,1,1,242.62,242.62,0.00,0,0,0.00,0.00,0.00,17.000,17.000,0.064,-0.151
strategies.realized_giveback_no_bull,AVGO,2025-07-29,shared,1,1,93.50,93.50,0.00,0,0,0.00,0.00,0.00,19.000,19.000,0.041,-0.055
strategies.realized_giveback_no_bull,AVGO,2025-08-07,shared,1,1,93.10,93.10,0.00,0,0,0.00,0.00,0.00,20.000,20.000,0.041,-0.077
strategies.realized_giveback_no_bull,AVGO,2025-08-13,shared,1,1,472.92,472.92,0.00,0,0,0.00,0.00,0.00,18.000,18.000,0.140,-0.099
strategies.realized_giveback_no_bull,AVGO,2025-09-09,shared,1,1,271.92,271.92,0.00,0,0,0.00,0.00,0.00,12.000,12.000,0.068,-0.031
strategies.realized_giveback_no_bull,AVGO,2025-09-11,shared,1,1,105.24,105.24,0.00,0,0,0.00,0.00,0.00,10.000,10.000,0.044,-0.118
strategies.realized_giveback_no_bull,AVGO,2025-10-29,shared,1,1,274.69,274.69,0.00,0,0,0.00,0.00,0.00,15.000,15.000,0.063,-0.142
