variant_id,date,symbol,event,module,reason,days_held,pnl,return_pct,mfe_pct,mae_pct,giveback_from_peak_pct,raw
giveback_no_bull_scanner_top20,2025-01-03,TSLA,PROACTIVE_STRENGTH_EXIT,exit.proactive_strength_exit,target,0,231.18,0.060,0.062,-0.010,0.002,EXIT_EVENT|2025-01-03|TSLA|event=PROACTIVE_STRENGTH_EXIT|module=exit.proactive_strength_exit|reason=target|days_held=0|qty=10.000000|entry_price=383.460000|exit_price=406.577600|pnl=231.176000|return_pct=0.060287|mfe_pct=0.061806|mae_pct=-0.010457|peak_return_pct=0.061806|giveback_from_peak_pct=0.001519
giveback_no_bull_scanner_top20,2025-01-06,AMD,PROACTIVE_STRENGTH_EXIT,exit.proactive_strength_exit,target,3,234.88,0.060,0.070,-0.006,0.010,EXIT_EVENT|2025-01-06|AMD|event=PROACTIVE_STRENGTH_EXIT|module=exit.proactive_strength_exit|reason=target|days_held=3|qty=32.000000|entry_price=122.210000|exit_price=129.550000|pnl=234.880000|return_pct=0.060061|mfe_pct=0.069716|mae_pct=-0.006464|peak_return_pct=0.069716|giveback_from_peak_pct=0.009656
giveback_no_bull_scanner_top20,2025-01-07,GOOGL,PROACTIVE_STRENGTH_EXIT,exit.proactive_strength_exit,giveback,4,114.50,0.030,0.046,-0.011,0.016,EXIT_EVENT|2025-01-07|GOOGL|event=PROACTIVE_STRENGTH_EXIT|module=exit.proactive_strength_exit|reason=giveback|days_held=4|qty=20.000000|entry_price=192.140000|exit_price=197.865000|pnl=114.500000|return_pct=0.029796|mfe_pct=0.046112|mae_pct=-0.011268|peak_return_pct=0.046112|giveback_from_peak_pct=0.016316
giveback_no_bull_scanner_top20,2025-01-07,META,PROACTIVE_STRENGTH_EXIT,exit.proactive_strength_exit,giveback,4,67.53,0.019,0.042,-0.016,0.024,EXIT_EVENT|2025-01-07|META|event=PROACTIVE_STRENGTH_EXIT|module=exit.proactive_strength_exit|reason=giveback|days_held=4|qty=6.000000|entry_price=606.415000|exit_price=617.670000|pnl=67.530000|return_pct=0.018560|mfe_pct=0.042357|mae_pct=-0.016493|peak_return_pct=0.042357|giveback_from_peak_pct=0.023797
giveback_no_bull_scanner_top20,2025-01-10,UNH,PROACTIVE_STRENGTH_EXIT,exit.proactive_strength_exit,giveback,4,61.32,0.017,0.046,-0.013,0.029,EXIT_EVENT|2025-01-10|UNH|event=PROACTIVE_STRENGTH_EXIT|module=exit.proactive_strength_exit|reason=giveback|days_held=4|qty=7.000000|entry_price=511.790000|exit_price=520.550000|pnl=61.320000|return_pct=0.017116|mfe_pct=0.046230|mae_pct=-0.012525|peak_return_pct=0.046230|giveback_from_peak_pct=0.029114
giveback_no_bull_scanner_top20,2025-01-15,HD,PROACTIVE_STRENGTH_EXIT,exit.proactive_strength_exit,giveback,12,137.35,0.035,0.051,-0.021,0.015,EXIT_EVENT|2025-01-15|HD|event=PROACTIVE_STRENGTH_EXIT|module=exit.proactive_strength_exit|reason=giveback|days_held=12|qty=10.000000|entry_price=388.385000|exit_price=402.120000|pnl=137.350000|return_pct=0.035364|mfe_pct=0.050504|mae_pct=-0.021332|peak_return_pct=0.050504|giveback_from_peak_pct=0.015140
giveback_no_bull_scanner_top20,2025-01-16,JPM,PROACTIVE_STRENGTH_EXIT,exit.proactive_strength_exit,giveback,13,158.73,0.041,0.056,-0.019,0.015,EXIT_EVENT|2025-01-16|JPM|event=PROACTIVE_STRENGTH_EXIT|module=exit.proactive_strength_exit|reason=giveback|days_held=13|qty=16.000000|entry_price=243.459200|exit_price=253.380000|pnl=158.732800|return_pct=0.040749|mfe_pct=0.055762|mae_pct=-0.019384|peak_return_pct=0.055762|giveback_from_peak_pct=0.015013
giveback_no_bull_scanner_top20,2025-01-17,TSLA,PROACTIVE_STRENGTH_EXIT,exit.proactive_strength_exit,giveback,11,108.05,0.029,0.061,-0.090,0.032,EXIT_EVENT|2025-01-17|TSLA|event=PROACTIVE_STRENGTH_EXIT|module=exit.proactive_strength_exit|reason=giveback|days_held=11|qty=9.000000|entry_price=414.475000|exit_price=426.480000|pnl=108.045000|return_pct=0.028964|mfe_pct=0.060957|mae_pct=-0.089716|peak_return_pct=0.060957|giveback_from_peak_pct=0.031992
giveback_no_bull_scanner_top20,2025-01-21,TSLA,PROACTIVE_STRENGTH_EXIT,exit.proactive_strength_exit,giveback,0,52.29,0.014,0.045,-0.002,0.032,EXIT_EVENT|2025-01-21|TSLA|event=PROACTIVE_STRENGTH_EXIT|module=exit.proactive_strength_exit|reason=giveback|days_held=0|qty=9.000000|entry_price=420.670000|exit_price=426.480000|pnl=52.290000|return_pct=0.013811|mfe_pct=0.045332|mae_pct=-0.002187|peak_return_pct=0.045332|giveback_from_peak_pct=0.031521
giveback_no_bull_scanner_top20,2025-01-21,XOM,PROACTIVE_STRENGTH_EXIT,exit.proactive_strength_exit,giveback,18,116.55,0.029,0.044,-0.021,0.015,EXIT_EVENT|2025-01-21|XOM|event=PROACTIVE_STRENGTH_EXIT|module=exit.proactive_strength_exit|reason=giveback|days_held=18|qty=37.000000|entry_price=108.060000|exit_price=111.210000|pnl=116.550000|return_pct=0.029150|mfe_pct=0.044467|mae_pct=-0.021099|peak_return_pct=0.044467|giveback_from_peak_pct=0.015316
