variant_id,base_module,scanner_setting,symbol,entry_order_id,entry_time,entry_date,entry_price,quantity,entry_cost,status,decision_rank,allocated_unrealized_est,age_days_to_fy_end
target04_fast_take_scanner_off,strategies.realized_target_04_fast_take,off,XOM,243,2025-11-12T14:31:00Z,2025-11-12,118.879410,38.000000,4517.42,open,95.000,-691.10,49
target04_fast_take_scanner_off,strategies.realized_target_04_fast_take,off,NVDA,236,2025-10-30T13:46:00Z,2025-10-30,204.192045,22.000000,4492.22,open,3.000,-687.24,62
target04_fast_take_scanner_off,strategies.realized_target_04_fast_take,off,AMD,233,2025-10-29T15:21:00Z,2025-10-29,261.930900,17.000000,4452.83,open,4.000,-681.22,63
target04_fast_take_scanner_off,strategies.realized_target_04_fast_take,off,ABBV,215,2025-10-02T13:31:00Z,2025-10-02,242.311095,18.000000,4361.60,open,122.000,-667.26,90
giveback_no_bull_scanner_off,strategies.realized_giveback_no_bull,off,AMZN,273,2025-11-04T14:36:00Z,2025-11-04,251.605740,18.000000,4528.90,open,6.000,-664.04,57
giveback_no_bull_scanner_off,strategies.realized_giveback_no_bull,off,ORCL,254,2025-10-24T14:02:00Z,2025-10-24,283.051455,16.000000,4528.82,open,12.000,-664.03,68
giveback_no_bull_scanner_off,strategies.realized_giveback_no_bull,off,NVDA,265,2025-10-30T13:46:00Z,2025-10-30,204.192045,22.000000,4492.22,open,3.000,-658.66,62
target08_let_run_scanner_off,strategies.realized_target_08_let_run,off,AMZN,231,2025-11-04T14:36:00Z,2025-11-04,251.605740,18.000000,4528.90,open,6.000,-658.00,57
target04_fast_take_scanner_off,strategies.realized_target_04_fast_take,off,MRK,253,2025-11-26T14:31:00Z,2025-11-26,104.702325,41.000000,4292.80,open,95.000,-656.73,35
target04_fast_take_scanner_off,strategies.realized_target_04_fast_take,off,AMZN,239,2025-11-04T14:36:00Z,2025-11-04,251.605740,17.000000,4277.30,open,6.000,-654.36,57
target08_let_run_scanner_off,strategies.realized_target_08_let_run,off,NVDA,225,2025-10-30T13:46:00Z,2025-10-30,204.192045,22.000000,4492.22,open,3.000,-652.67,62
target04_fast_take_scanner_off,strategies.realized_target_04_fast_take,off,ORCL,223,2025-10-14T16:41:00Z,2025-10-14,303.776813,14.000000,4252.88,open,10.000,-650.63,78
