base_module,symbol,relation,off_entries,top20_entries,delta_entries,off_closed_pnl,top20_closed_pnl,delta_closed_pnl,off_open_lots,top20_open_lots,off_open_unrealized_est,top20_open_unrealized_est,delta_open_unrealized_est,off_avg_rank,top20_avg_rank,top20_avg_mfe_pct,top20_avg_mae_pct,top20_exit_reasons
strategies.realized_giveback_no_bull,AAPL,shared,5,5,0,767.62,710.60,-57.02,1,1,-632.82,-529.54,103.29,5.800,5.600,0.056,-0.340,giveback:3;target:1
strategies.realized_giveback_no_bull,ABBV,shared,9,9,0,1056.00,1056.00,0.00,1,1,-625.72,-524.75,100.97,117.556,117.556,0.056,-0.040,unknown:8
strategies.realized_giveback_no_bull,AMD,shared,12,13,1,2708.10,2975.57,267.47,1,1,-649.32,-544.54,104.78,7.750,7.385,0.078,-0.069,giveback:3;target:2;unknown:7
strategies.realized_giveback_no_bull,AMZN,shared,3,3,0,551.98,398.65,-153.33,1,1,-664.04,-525.95,138.09,7.333,7.333,0.078,-0.166,giveback:1;unknown:1
strategies.realized_giveback_no_bull,AVGO,shared,13,13,0,2303.66,2292.54,-11.12,1,1,-646.74,-542.37,104.36,14.000,14.000,0.060,-0.120,giveback:7;target:5
strategies.realized_giveback_no_bull,COST,shared,5,5,0,539.65,539.65,0.00,1,1,-464.62,-389.65,74.98,47.800,47.800,0.051,-0.056,giveback:3;target:1
strategies.realized_giveback_no_bull,CRM,shared,3,3,0,342.04,219.51,-122.53,1,1,-572.63,-480.22,92.40,32.000,32.000,0.045,-0.029,giveback:2
strategies.realized_giveback_no_bull,GOOGL,shared,10,14,4,2326.48,2050.74,-275.74,1,1,-616.21,-516.77,99.44,11.700,11.357,0.056,-0.049,giveback:8;target:5
strategies.realized_giveback_no_bull,HD,shared,2,3,1,287.63,254.83,-32.80,1,1,-548.49,-465.07,83.42,71.000,69.667,0.050,-0.013,giveback:2
strategies.realized_giveback_no_bull,JPM,shared,8,8,0,1160.65,1145.26,-15.39,1,1,-620.20,-556.69,63.51,36.000,36.125,0.054,-0.162,giveback:4;target:2;unknown:1
strategies.realized_giveback_no_bull,LLY,shared,8,10,2,1164.16,1317.01,152.85,1,1,-630.26,-542.89,87.37,26.125,26.300,0.053,-0.082,giveback:7;target:2
strategies.realized_giveback_no_bull,MA,shared,6,6,0,472.51,472.51,0.00,1,1,-609.26,-510.95,98.32,72.833,72.833,0.050,-0.075,giveback:1;unknown:4
strategies.realized_giveback_no_bull,META,shared,8,8,0,1010.26,792.05,-218.21,1,1,-568.55,-476.80,91.75,6.750,7.625,0.052,-0.064,giveback:1;unknown:6
strategies.realized_giveback_no_bull,MRK,shared,2,2,0,207.32,207.32,0.00,1,1,-644.77,-553.60,91.17,93.500,93.500,0.064,-0.261,unknown:1
strategies.realized_giveback_no_bull,MSFT,shared,8,8,0,1045.83,999.85,-45.98,1,1,-636.58,-533.85,102.72,9.375,9.000,0.057,-0.205,giveback:4;target:2;unknown:1
strategies.realized_giveback_no_bull,NFLX,shared,10,7,-3,1298.25,1045.90,-252.35,1,0,-570.42,0.00,570.42,18.300,16.857,0.061,-0.061,giveback:5;target:2
strategies.realized_giveback_no_bull,NVDA,shared,10,10,0,1535.72,1426.43,-109.29,1,1,-658.66,-552.37,106.29,2.300,2.300,0.056,-0.093,giveback:2;target:1;unknown:6
strategies.realized_giveback_no_bull,ORCL,shared,12,12,0,3464.51,3455.49,-9.02,1,1,-664.03,-556.87,107.15,20.917,20.917,0.090,-0.082,giveback:4;target:7
strategies.realized_giveback_no_bull,PG,shared,3,3,0,160.58,257.95,97.37,1,1,-560.87,-458.13,102.74,102.333,105.000,0.049,-0.064,giveback:2
strategies.realized_giveback_no_bull,TSLA,shared,11,7,-4,843.50,925.26,81.76,1,1,-578.56,-538.13,40.43,0.818,0.714,0.045,-0.199,giveback:2;target:2;unknown:2
strategies.realized_giveback_no_bull,UNH,shared,5,4,-1,486.26,295.26,-191.00,1,1,-514.60,-431.56,83.04,25.400,25.000,0.032,-0.074,giveback:1;unknown:2
strategies.realized_giveback_no_bull,V,shared,5,8,3,545.60,453.66,-91.94,1,0,-533.67,0.00,533.67,45.000,44.500,0.033,-0.060,giveback:2;unknown:6
strategies.realized_giveback_no_bull,XOM,shared,3,1,-2,347.62,112.49,-235.13,1,0,-552.33,0.00,552.33,46.333,41.000,0.044,-0.021,giveback:1
strategies.realized_target_04_fast_take,AAPL,shared,4,4,0,553.60,501.08,-52.52,1,1,-643.36,-517.70,125.66,5.750,5.750,0.041,-0.122,target:3
strategies.realized_target_04_fast_take,ABBV,shared,7,7,0,1118.68,1174.82,56.14,1,1,-667.26,-503.37,163.89,121.000,121.000,0.053,-0.098,target:1;unknown:5
strategies.realized_target_04_fast_take,AMD,shared,14,14,0,3163.43,3449.74,286.31,1,1,-681.22,-507.09,174.13,9.143,9.143,0.084,-0.079,unknown:13
strategies.realized_target_04_fast_take,AMZN,shared,3,3,0,551.98,416.66,-135.32,1,1,-654.36,-493.64,160.72,7.333,7.333,0.066,-0.177,target:1;unknown:1
strategies.realized_target_04_fast_take,AVGO,shared,14,13,-1,2340.97,2227.32,-113.65,1,1,-619.24,-513.86,105.38,12.929,13.769,0.053,-0.103,target:10;unknown:2
strategies.realized_target_04_fast_take,COST,shared,4,4,0,562.48,562.48,0.00,1,1,-492.34,-371.42,120.93,49.250,49.250,0.059,-0.003,unknown:3
strategies.realized_target_04_fast_take,CRM,shared,2,3,1,309.44,430.89,121.45,1,1,-597.48,-450.73,146.75,30.000,32.000,0.058,-0.029,target:2
strategies.realized_target_04_fast_take,GOOGL,shared,11,11,0,1952.85,2286.90,334.05,1,1,-642.95,-485.03,157.92,11.364,11.727,0.065,-0.053,unknown:10
strategies.realized_target_04_fast_take,HD,shared,2,2,0,344.51,315.51,-29.00,1,1,-579.37,-436.82,142.55,71.500,70.500,0.083,-0.021,target:1
strategies.realized_target_04_fast_take,JPM,shared,8,8,0,1144.41,1177.79,33.38,1,1,-647.88,-488.75,159.13,37.125,37.125,0.049,-0.062,unknown:7
strategies.realized_target_04_fast_take,LLY,shared,7,9,2,1169.92,1315.36,145.44,1,1,-506.59,-509.55,-2.96,25.429,27.111,0.046,-0.060,target:8
strategies.realized_target_04_fast_take,MA,shared,4,4,0,365.26,498.23,132.97,1,1,-532.19,-403.55,128.64,68.000,69.000,0.047,-0.096,target:2;unknown:1
strategies.realized_target_04_fast_take,META,shared,6,8,2,970.67,1214.03,243.36,1,1,-604.99,-456.40,148.59,6.667,6.500,0.050,-0.070,target:6;unknown:1
strategies.realized_target_04_fast_take,MRK,shared,2,2,0,169.94,207.32,37.38,1,1,-656.73,-507.52,149.22,93.500,93.500,0.064,-0.261,unknown:1
strategies.realized_target_04_fast_take,MSFT,shared,6,6,0,964.30,964.30,0.00,1,1,-569.21,-429.40,139.81,8.667,8.667,0.056,-0.057,unknown:5
strategies.realized_target_04_fast_take,NFLX,shared,8,1,-7,1310.08,380.27,-929.81,1,0,-601.36,0.00,601.36,17.750,27.000,0.115,-0.068,unknown:1
strategies.realized_target_04_fast_take,NVDA,shared,8,10,2,1375.72,1471.70,95.98,1,1,-687.24,-518.45,168.80,2.375,2.400,0.058,-0.076,unknown:9
strategies.realized_target_04_fast_take,ORCL,shared,10,10,0,2643.91,2650.47,6.56,1,1,-650.63,-486.97,163.66,22.400,22.300,0.100,-0.095,target:8;unknown:1
strategies.realized_target_04_fast_take,PG,shared,3,2,-1,310.45,147.62,-162.83,1,1,-571.12,-457.35,113.77,104.667,106.000,0.047,-0.051,unknown:1
strategies.realized_target_04_fast_take,TSLA,shared,9,10,1,1122.81,604.56,-518.25,1,1,-603.66,-512.32,91.34,1.000,1.100,0.050,-0.118,giveback:1;target:8
strategies.realized_target_04_fast_take,UNH,shared,4,4,0,577.67,552.15,-25.52,1,1,-536.93,-405.06,131.88,28.000,28.000,0.064,-0.077,giveback:1;target:2
strategies.realized_target_04_fast_take,V,shared,4,4,0,551.36,551.36,0.00,1,1,-557.51,-462.64,94.88,44.750,44.750,0.052,-0.051,target:2;unknown:1
strategies.realized_target_04_fast_take,XOM,shared,3,3,0,390.09,365.87,-24.22,1,1,-691.10,-437.04,254.06,64.000,49.667,0.050,-0.066,target:2
strategies.realized_target_08_let_run,AAPL,shared,5,6,1,615.45,688.91,73.46,1,1,-613.90,-501.58,112.32,5.400,5.667,0.049,-0.068,giveback:1;unknown:4
strategies.realized_target_08_let_run,ABBV,shared,5,5,0,1122.11,1115.84,-6.27,1,1,-612.72,-472.77,139.95,121.400,121.400,0.078,-0.136,giveback:1;target:3
strategies.realized_target_08_let_run,AMD,shared,14,12,-2,3219.47,3483.07,263.60,1,1,-642.75,-496.53,146.22,9.857,9.667,0.101,-0.088,unknown:11
strategies.realized_target_08_let_run,AMZN,shared,3,3,0,513.12,348.97,-164.15,1,1,-658.00,-479.50,178.50,7.333,7.333,0.073,-0.174,giveback:2
strategies.realized_target_08_let_run,AVGO,shared,12,13,1,2172.00,2281.45,109.45,1,1,-592.40,-502.80,89.60,13.500,13.615,0.073,-0.094,giveback:10;target:1;unknown:1
strategies.realized_target_08_let_run,COST,shared,3,3,0,496.35,601.29,104.94,1,1,-448.68,-355.43,93.25,45.667,47.000,0.083,-0.006,target:2
strategies.realized_target_08_let_run,CRM,shared,2,2,0,309.44,309.44,0.00,1,1,-567.42,-437.82,129.61,30.000,30.000,0.102,-0.051,unknown:1
strategies.realized_target_08_let_run,GOOGL,shared,12,12,0,2242.49,2589.74,347.25,1,1,-610.61,-468.61,142.00,11.250,11.167,0.097,-0.044,giveback:1;unknown:10
strategies.realized_target_08_let_run,HD,shared,2,2,0,344.51,315.51,-29.00,1,1,-550.23,-424.31,125.92,71.500,70.500,0.083,-0.021,target:1
strategies.realized_target_08_let_run,JPM,shared,5,5,0,1090.61,1067.14,-23.47,1,1,-600.08,-463.01,137.07,37.800,37.800,0.075,-0.170,giveback:1;target:3
strategies.realized_target_08_let_run,LLY,shared,7,5,-2,1252.59,1255.44,2.85,1,1,-481.10,-494.95,-13.85,26.571,25.400,0.100,-0.103,unknown:4
strategies.realized_target_08_let_run,MA,shared,3,3,0,390.52,390.52,0.00,1,1,-500.64,-386.28,114.35,68.000,68.000,0.069,-0.105,giveback:1;target:1
strategies.realized_target_08_let_run,META,shared,8,8,0,1074.02,1074.02,0.00,1,1,-574.56,-443.32,131.24,6.500,6.500,0.067,-0.071,giveback:6;unknown:1
strategies.realized_target_08_let_run,MRK,shared,2,3,1,153.95,313.97,160.02,1,1,-630.42,-494.86,135.57,91.000,90.667,0.064,-0.157,giveback:2
strategies.realized_target_08_let_run,MSFT,shared,5,5,0,926.86,926.86,0.00,1,1,-540.58,-417.10,123.47,9.200,9.200,0.077,-0.052,unknown:4
strategies.realized_target_08_let_run,NFLX,shared,8,1,-7,1496.92,380.27,-1116.65,1,0,-578.26,0.00,578.26,17.875,27.000,0.115,-0.068,unknown:1
strategies.realized_target_08_let_run,NVDA,shared,7,9,2,1470.03,1141.51,-328.52,1,1,-652.67,-503.59,149.08,2.429,2.222,0.064,-0.078,giveback:1;unknown:7
strategies.realized_target_08_let_run,ORCL,shared,10,10,0,2554.99,2550.08,-4.91,1,1,-617.90,-476.76,141.14,22.300,22.300,0.114,-0.092,giveback:6;target:2;unknown:1
strategies.realized_target_08_let_run,PG,shared,2,2,0,174.00,174.00,0.00,1,1,-555.77,-428.83,126.95,101.500,101.500,0.084,-0.051,unknown:1
strategies.realized_target_08_let_run,TSLA,shared,12,4,-8,1033.73,-206.44,-1240.17,1,0,-635.22,0.00,635.22,0.917,0.250,0.069,-0.130,unknown:4
strategies.realized_target_08_let_run,UNH,shared,5,5,0,492.99,467.47,-25.52,1,1,-512.32,-395.30,117.02,33.000,33.000,0.054,-0.052,giveback:1;unknown:3
strategies.realized_target_08_let_run,V,shared,5,5,0,459.42,459.42,0.00,1,1,-609.63,-470.38,139.25,45.600,45.600,0.067,-0.091,giveback:3;target:1
strategies.realized_target_08_let_run,XOM,shared,2,2,0,317.93,367.30,49.37,1,1,-560.12,-422.29,137.82,47.000,45.500,0.101,-0.040,unknown:1
